Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by.1,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,HOST,host_subject_id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR29274143,WGS,296,695251893,PRJNA1119915,SAMN41664327,Pathogen.cl,315547711,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-11,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791405,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14362,Illumina HiSeq 2000,missing,missing,EUST14362,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:42:00Z,1,EUST14362,SRP511583,not applicable
SRR29274144,WGS,296,651510745,PRJNA1119915,SAMN41664326,Pathogen.cl,284679005,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791404,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14356,Illumina HiSeq 2000,missing,missing,EUST14356,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:42:00Z,1,EUST14356,SRP511583,not applicable
SRR29274145,WGS,296,984523355,PRJNA1119915,SAMN41664325,Pathogen.cl,427625172,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791403,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14349,Illumina HiSeq 2000,missing,missing,EUST14349,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14349,SRP511583,not applicable
SRR29274146,WGS,294,928824914,PRJNA1119915,SAMN41664324,Pathogen.cl,403166600,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791402,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14331,Illumina HiSeq 2000,missing,missing,EUST14331,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-05T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14331,SRP511583,not applicable
SRR29274147,WGS,295,877413590,PRJNA1119915,SAMN41664323,Pathogen.cl,381773656,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791401,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14322,Illumina HiSeq 2000,missing,missing,EUST14322,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-05T00:00:00Z,2024-06-04T09:42:00Z,1,EUST14322,SRP511583,not applicable
SRR29274148,WGS,295,959211433,PRJNA1119915,SAMN41664322,Pathogen.cl,415389774,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2018-12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791400,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14312,Illumina HiSeq 2000,missing,missing,EUST14312,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14312,SRP511583,not applicable
SRR29274149,WGS,296,926488054,PRJNA1119915,SAMN41664321,Pathogen.cl,403825397,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791399,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14301,Illumina HiSeq 2000,missing,missing,EUST14301,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14301,SRP511583,not applicable
SRR29274150,WGS,294,616279875,PRJNA1119915,SAMN41664168,Pathogen.cl,267301321,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2017-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791398,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST10879,Illumina HiSeq 2000,missing,missing,EUST10879,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-05T00:00:00Z,2024-06-04T09:43:00Z,1,EUST10879,SRP511583,not applicable
SRR29274151,WGS,287,868948904,PRJNA1119915,SAMN41664320,Pathogen.cl,376397572,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791397,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14299,Illumina HiSeq 2000,missing,missing,EUST14299,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-04T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14299,SRP511583,not applicable
SRR29274152,WGS,296,921681422,PRJNA1119915,SAMN41664319,Pathogen.cl,400238754,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,2019-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24791396,Romania,Europe,Romania,tuberculosis,Homo sapiens,EUST14285,Illumina HiSeq 2000,missing,missing,EUST14285,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-05T00:00:00Z,2024-06-04T09:43:00Z,1,EUST14285,SRP511583,not applicable
