Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,HOST,host_subject_id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_id,ReleaseDate,create_date,version,Sample Name,SRA Study,strain,isolate_name_alias
SRR29093104,WGS,302,298819336,PRJNA1109295,SAMN41468371,Pathogen.cl,138538840,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617452,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,883E88_B20E0ED61589,Illumina HiSeq 2000,missing,missing,883E88_B20E0ED61589_18-24,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_B20E0ED61589,SRP507535,not applicable,
SRR29093105,WGS,302,367488398,PRJNA1109295,SAMN41468370,Pathogen.cl,158362023,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617451,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,883E88_AD61AB143223,Illumina HiSeq 2000,missing,missing,883E88_AD61AB143223_74,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_AD61AB143223,SRP507535,not applicable,
SRR29093106,WGS,302,505823726,PRJNA1109295,SAMN41468369,Pathogen.cl,218098133,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617450,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_AAB3238922BC,Illumina HiSeq 2000,missing,missing,883E88_AAB3238922BC_14,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_AAB3238922BC,SRP507535,not applicable,14
SRR29093107,WGS,302,585684304,PRJNA1109295,SAMN41468368,Pathogen.cl,260688570,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617449,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,883E88_A87FF679A2F3,Illumina HiSeq 2000,missing,missing,883E88_A87FF679A2F3_4,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_A87FF679A2F3,SRP507535,not applicable,
SRR29093108,WGS,302,480382944,PRJNA1109295,SAMN41468367,Pathogen.cl,211817693,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617448,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_A684ECEEE76F,Illumina HiSeq 2000,missing,missing,883E88_A684ECEEE76F_54,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_A684ECEEE76F,SRP507535,not applicable,54
SRR29093109,WGS,302,337013276,PRJNA1109295,SAMN41468366,Pathogen.cl,156206786,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617447,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,883E88_A67FF5F78E99,Illumina HiSeq 2000,missing,missing,883E88_A67FF5F78E99_18-23,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_A67FF5F78E99,SRP507535,not applicable,
SRR29093110,WGS,302,607719432,PRJNA1109295,SAMN41468365,Pathogen.cl,263224862,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617446,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_A5BFC9E07964,Illumina HiSeq 2000,missing,missing,883E88_A5BFC9E07964_37,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_A5BFC9E07964,SRP507535,not applicable,37
SRR29093111,WGS,302,489176580,PRJNA1109295,SAMN41468364,Pathogen.cl,212196374,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617445,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_A5771BCE93E2,Illumina HiSeq 2000,missing,missing,883E88_A5771BCE93E2_38,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_A5771BCE93E2,SRP507535,not applicable,38
SRR29093112,WGS,302,341530592,PRJNA1109295,SAMN41468363,Pathogen.cl,149397180,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617444,South Korea,Asia,South Korea,tuberculosis,Homo sapiens,883E88_A3F390D88E4C,Illumina HiSeq 2000,missing,missing,883E88_A3F390D88E4C_68,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1027,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,883E88_A3F390D88E4C,SRP507535,not applicable,68
SRR29093113,WGS,302,243468172,PRJNA1109295,SAMN41468003,Pathogen.cl,105763341,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24617443,South Africa,Africa,South Africa,tuberculosis,Homo sapiens,82B8A3_92469EFEB3D9,Illumina HiSeq 2000,missing,missing,82B8A3_92469EFEB3D9_C117,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,IS-1025,2024-05-21T00:00:00Z,2024-05-21T06:01:00Z,1,82B8A3_92469EFEB3D9,SRP507535,not applicable,c117
