Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,HOST,host_subject_id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR29341545,WGS,280,306771513,PRJNA1122079,SAMN41772276,Pathogen.cl,127924843,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857346,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2365,Illumina HiSeq 2000,missing,missing,IT2365,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:17:00Z,1,IT2365,SRP512858,not applicable
SRR29341546,WGS,272,337582885,PRJNA1122079,SAMN41772275,Pathogen.cl,149163413,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857345,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2366,Illumina HiSeq 2000,missing,missing,IT2366,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:03:00Z,1,IT2366,SRP512858,not applicable
SRR29341547,WGS,279,474246619,PRJNA1122079,SAMN41772274,Pathogen.cl,197853796,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857344,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2367,Illumina HiSeq 2000,missing,missing,IT2367,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:03:00Z,1,IT2367,SRP512858,not applicable
SRR29341548,WGS,269,515244108,PRJNA1122079,SAMN41772273,Pathogen.cl,214594894,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857343,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2371,Illumina HiSeq 2000,missing,missing,IT2371,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:03:00Z,1,IT2371,SRP512858,not applicable
SRR29341549,WGS,280,381451916,PRJNA1122079,SAMN41772272,Pathogen.cl,159038570,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857342,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2361,Illumina HiSeq 2000,missing,missing,IT2361,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T22:46:00Z,1,IT2361,SRP512858,not applicable
SRR29341550,WGS,279,366384256,PRJNA1122079,SAMN41772271,Pathogen.cl,152927173,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857341,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2360,Illumina HiSeq 2000,missing,missing,IT2360,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T22:46:00Z,1,IT2360,SRP512858,not applicable
SRR29341551,WGS,295,736467007,PRJNA1122079,SAMN41772163,Pathogen.cl,335334654,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857340,uncalculated,uncalculated,Cote d'Ivoire,tuberculosis,Homo sapiens,IT2355,Illumina HiSeq 2000,missing,missing,IT2355,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:23:00Z,1,IT2355,SRP512858,not applicable
SRR29341552,WGS,267,483281810,PRJNA1122079,SAMN41772270,Pathogen.cl,201104571,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857339,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2358,Illumina HiSeq 2000,missing,missing,IT2358,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2358,SRP512858,not applicable
SRR29341553,WGS,276,490867335,PRJNA1122079,SAMN41772269,Pathogen.cl,205030394,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857338,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2372,Illumina HiSeq 2000,missing,missing,IT2372,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:14:00Z,1,IT2372,SRP512858,not applicable
SRR29341554,WGS,278,407016258,PRJNA1122079,SAMN41772268,Pathogen.cl,169089764,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857337,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2374,Illumina HiSeq 2000,missing,missing,IT2374,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:13:00Z,1,IT2374,SRP512858,not applicable
SRR29341555,WGS,273,400061028,PRJNA1122079,SAMN41772267,Pathogen.cl,166538291,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857336,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2369,Illumina HiSeq 2000,missing,missing,IT2369,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:13:00Z,1,IT2369,SRP512858,not applicable
SRR29341556,WGS,278,399814391,PRJNA1122079,SAMN41772266,Pathogen.cl,167451289,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857335,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2363,Illumina HiSeq 2000,missing,missing,IT2363,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:43:00Z,1,IT2363,SRP512858,not applicable
SRR29341557,WGS,302,409231744,PRJNA1122079,SAMN41772265,Pathogen.cl,178365074,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857334,Ireland,Europe,Ireland,tuberculosis,Homo sapiens,IRL-30,Illumina HiSeq 2000,missing,missing,IRL-30,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IRL-30,SRP512858,not applicable
SRR29341558,WGS,270,484224493,PRJNA1122079,SAMN41772264,Pathogen.cl,203279869,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857333,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2356,Illumina HiSeq 2000,missing,missing,IT2356,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T22:46:00Z,1,IT2356,SRP512858,not applicable
SRR29341559,WGS,279,376714519,PRJNA1122079,SAMN41772263,Pathogen.cl,163746341,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857332,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2270,Illumina HiSeq 2000,missing,missing,IT2270,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:25:00Z,1,IT2270,SRP512858,not applicable
SRR29341560,WGS,286,346321552,PRJNA1122079,SAMN41772262,Pathogen.cl,145586223,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857331,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2342,Illumina HiSeq 2000,missing,missing,IT2342,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T22:46:00Z,1,IT2342,SRP512858,not applicable
SRR29341561,WGS,282,337679279,PRJNA1122079,SAMN41772261,Pathogen.cl,139846473,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857330,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2437,Illumina HiSeq 2000,missing,missing,IT2437,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2437,SRP512858,not applicable
SRR29341562,WGS,278,541337282,PRJNA1122079,SAMN41772162,Pathogen.cl,231833047,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2019,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857329,China,Asia,China,tuberculosis,Homo sapiens,IT1757,Illumina HiSeq 2000,missing,missing,IT1757,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT1757,SRP512858,not applicable
SRR29341563,WGS,294,192098618,PRJNA1122079,SAMN41772260,Pathogen.cl,74446717,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857328,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2417,Illumina HiSeq 2000,missing,missing,IT2417,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2417,SRP512858,not applicable
SRR29341564,WGS,273,458795438,PRJNA1122079,SAMN41772259,Pathogen.cl,188507208,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857327,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2438,Illumina HiSeq 2000,missing,missing,IT2438,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2438,SRP512858,not applicable
SRR29341565,WGS,252,371821253,PRJNA1122079,SAMN41772258,Pathogen.cl,151945075,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857326,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2441,Illumina HiSeq 2000,missing,missing,IT2441,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2441,SRP512858,not applicable
SRR29341566,WGS,262,368375092,PRJNA1122079,SAMN41772257,Pathogen.cl,149867298,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857325,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2442,Illumina HiSeq 2000,missing,missing,IT2442,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2442,SRP512858,not applicable
SRR29341567,WGS,258,339922718,PRJNA1122079,SAMN41772256,Pathogen.cl,137853997,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857324,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2444,Illumina HiSeq 2000,missing,missing,IT2444,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2444,SRP512858,not applicable
SRR29341568,WGS,260,334347564,PRJNA1122079,SAMN41772255,Pathogen.cl,135565039,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857323,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2443,Illumina HiSeq 2000,missing,missing,IT2443,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:23:00Z,1,IT2443,SRP512858,not applicable
SRR29341569,WGS,265,383017713,PRJNA1122079,SAMN41772254,Pathogen.cl,154698441,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857322,uncalculated,uncalculated,missing,tuberculosis,Homo sapiens,IT2445,Illumina HiSeq 2000,missing,missing,IT2445,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-10T00:00:00Z,2024-06-10T09:22:00Z,1,IT2445,SRP512858,not applicable
SRR29341570,WGS,275,298567710,PRJNA1122079,SAMN41772253,Pathogen.cl,121773203,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857321,Sierra Leone,Africa,Sierra Leone,tuberculosis,Homo sapiens,IT2339,Illumina HiSeq 2000,missing,missing,IT2339,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:28:00Z,1,IT2339,SRP512858,not applicable
SRR29341571,WGS,271,346378722,PRJNA1122079,SAMN41772252,Pathogen.cl,142111924,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857284,Senegal,Africa,Senegal,tuberculosis,Homo sapiens,IT2324,Illumina HiSeq 2000,missing,missing,IT2324,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:27:00Z,1,IT2324,SRP512858,not applicable
SRR29341572,WGS,275,356657279,PRJNA1122079,SAMN41772244,Pathogen.cl,149943208,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857319,Peru,South America,Peru,tuberculosis,Homo sapiens,IT2351,Illumina HiSeq 2000,missing,missing,IT2351,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:02:00Z,1,IT2351,SRP512858,not applicable
SRR29341573,WGS,272,350308030,PRJNA1122079,SAMN41772243,Pathogen.cl,145145635,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857318,Peru,South America,Peru,tuberculosis,Homo sapiens,IT2297,Illumina HiSeq 2000,missing,missing,IT2297,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-14T00:00:00Z,2024-06-13T23:36:00Z,1,IT2297,SRP512858,not applicable
SRR29341574,WGS,261,369375030,PRJNA1122079,SAMN41772242,Pathogen.cl,151656116,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857317,Peru,South America,Peru,tuberculosis,Homo sapiens,IT2320,Illumina HiSeq 2000,missing,missing,IT2320,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:02:00Z,1,IT2320,SRP512858,not applicable
SRR29341575,WGS,274,408142634,PRJNA1122079,SAMN41772241,Pathogen.cl,170418096,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857316,Pakistan,Asia,Pakistan,tuberculosis,Homo sapiens,IT2353,Illumina HiSeq 2000,missing,missing,IT2353,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-12T00:00:00Z,2024-06-11T23:03:00Z,1,IT2353,SRP512858,not applicable
SRR29341576,WGS,266,373575622,PRJNA1122079,SAMN41772160,Pathogen.cl,153873826,"FIND, THE FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS",missing,2020,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX24857315,China,Asia,China,tuberculosis,Homo sapiens,IT2307,Illumina HiSeq 2000,missing,missing,IT2307,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2024-06-14T00:00:00Z,2024-06-13T23:34:00Z,1,IT2307,SRP512858,not applicable
