Drug,Binned_MAE,Binned_MAE_exp,Doubling_Error,Without_doubling
Bedaquiline,0.42512808030048455,1.3427785120092828,0.6713892560046414,8.920704845814987
Bedaquiline,0.4304989000193995,1.3477945970895644,0.6738972985447822,8.59030837004405
Ethambutol,0.3370640018940397,1.2632309929547174,0.6316154964773587,10.911885245901635
Ethambutol,0.340002907478314,1.2657959372223693,0.6328979686111846,11.045081967213118
Ethionamide,0.3848775797536973,1.3057988201852013,0.6528994100926007,12.287581699346406
Ethionamide,0.4113663132934562,1.3299538630950574,0.6649769315475287,13.930905695611578
Isoniazid,0.4406758486396856,1.3574115174780659,0.6787057587390329,11.283783783783782
Isoniazid,0.4488704644653785,1.3651061944274212,0.6825530972137106,11.326013513513514
Levofloxacin,0.24073853459884037,1.1816036202922775,0.5908018101461388,8.65724381625442
Levofloxacin,0.23786074812211214,1.1792441566676168,0.5896220783338084,8.66902237926973
Moxifloxacin,0.47144581262950797,1.3865501401093205,0.6932750700546603,14.104234527687293
Moxifloxacin,0.5678383982616929,1.4827895423302546,0.7413947711651273,19.196525515743755
Pyrazinamide,0.8096107407249404,1.753326405109675,0.8766632025548375,25.573770491803284
Pyrazinamide,0.7463481270509251,1.6789049904627906,0.8394524952313953,23.06010928961749
Rifampicin,0.3982549245949496,1.3179513275362207,0.6589756637681103,10.758251561106155
Rifampicin,0.39342293718946975,1.3135586610154815,0.6567793305077407,10.526315789473687
