BioSample,Sample,Run,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,STUDY_NAME,STUDY_PMID,MEDIA,INH,RIF,RFB,EMB,STM,ETH,CIP,CYS,CAP,KAN,OFX,PAS,PZA,AMI,MXF,PRO,CFZ,LEV,CLAR,GATI,AMOXCLAV,LZD,Platform,TaxID,ScientificName,LoadDate,ReleaseDate,Combined_Runs,Num_Runs,TDR_Sample
SAMEA3558210,ERS865359,ERR1213925,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,10-20,,<1,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 06:16:53,2016-01-20 05:34:32,"ERR1034677,ERR1213925",2,nan
SAMEA3558211,ERS865360,ERR1034678,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,10-20,,4-8,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:36:14,2015-10-27 04:36:28,"ERR1034678,ERR1213926",2,nan
SAMEA3558211,ERS865360,ERR1213926,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,10-20,,4-8,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 06:22:53,2016-01-20 05:34:32,"ERR1034678,ERR1213926",2,nan
SAMEA3558212,ERS865361,ERR1213927,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,10-20,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 06:19:58,2016-01-20 05:34:32,"ERR1213927,ERR1034679",2,nan
SAMEA3558212,ERS865361,ERR1034679,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,10-20,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:36:16,2015-10-27 04:36:28,"ERR1213927,ERR1034679",2,nan
SAMEA3558213,ERS865362,ERR1034680,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,>120,,2-4,4-8,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:36:12,2015-10-27 04:36:28,"ERR1034680,ERR1213928",2,nan
SAMEA3558213,ERS865362,ERR1213928,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,>120,,2-4,4-8,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 06:21:33,2016-01-20 05:34:32,"ERR1034680,ERR1213928",2,nan
SAMEA3558214,ERS865363,ERR1034681,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,<10,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:36:15,2015-10-27 04:36:28,"ERR1034681,ERR1213929",2,nan
SAMEA3558214,ERS865363,ERR1213929,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,<10,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 06:26:25,2016-01-20 05:34:32,"ERR1034681,ERR1213929",2,nan
SAMEA3558216,ERS865365,ERR1034683,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,>3.2,>120,,<1,8-16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:36:16,2015-10-27 04:36:28,"ERR1034683,ERR1213931",2,nan
SAMEA3558216,ERS865365,ERR1213931,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,>3.2,>120,,<1,8-16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 06:15:29,2016-01-20 05:34:32,"ERR1034683,ERR1213931",2,nan
SAMEA3558217,ERS865366,ERR1034684,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,<0.05,10-20,,1-2,2-4,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:35:52,2015-10-27 04:36:28,"ERR1034684,ERR1213932",2,nan
