name,drug_code,range,plate,Medium
SAMEA104362050,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362050,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362050,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362050,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362050,RIF,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362051,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362051,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362051,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362051,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362051,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362051,KAN,"[4.0,4.0]",UKMYC5,UKMYC5
SAMEA104362051,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362051,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362051,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362051,MXF,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362051,RIF,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362052,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362052,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362052,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362052,EMB,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362052,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362052,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362052,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362052,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362052,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362052,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362052,RIF,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362053,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362053,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362053,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362053,EMB,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362053,ETO,"(8,)",UKMYC5,UKMYC5
SAMEA104362053,INH,"[0.4,0.4]",UKMYC5,UKMYC5
SAMEA104362053,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362053,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362053,MB,"(2,)",UKMYC5,UKMYC5
SAMEA104362053,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362053,RIF,"(4,)",UKMYC5,UKMYC5
SAMEA104362054,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362054,BDQ,"[0.03,0.03]",UKMYC5,UKMYC5
SAMEA104362054,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362054,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362054,EMB,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362054,ETO,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362054,INH,"[0,0.025]",UKMYC5,UKMYC5
SAMEA104362054,KAN,"[0,1]",UKMYC5,UKMYC5
SAMEA104362054,LZD,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362054,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362054,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362054,RIF,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362055,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362055,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362055,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362055,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362055,ETO,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362055,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362055,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362055,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362055,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362055,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362055,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362055,RIF,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362056,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362056,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362056,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362056,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362056,EMB,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362056,ETO,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362056,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362056,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362056,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362056,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362056,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362056,RIF,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362057,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362057,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362057,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362057,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362057,EMB,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362057,ETO,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362057,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362057,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362057,LFX,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362057,LZD,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362057,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362057,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362057,RIF,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362058,AMK,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362058,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362058,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362058,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362058,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362058,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362058,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362058,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362059,AMK,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362059,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362059,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362059,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362059,EMB,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362059,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362059,INH,"[0,0.025]",UKMYC5,UKMYC5
SAMEA104362059,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362059,LFX,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362059,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362059,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362059,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362059,RIF,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362060,BDQ,"[0.03,0.03]",UKMYC5,UKMYC5
SAMEA104362060,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362060,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362060,EMB,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362060,ETO,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362060,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362060,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362060,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362060,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362060,MXF,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362061,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362061,EMB,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362061,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362061,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362061,KAN,"[4.0,4.0]",UKMYC5,UKMYC5
SAMEA104362061,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362061,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362061,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362061,RIF,"[0,0.06]",UKMYC5,UKMYC5
