ID,ROLLINGDB_ID,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,MEDIA,RIF,INH,RFB,BDQ,EMB,STR,KAN,AMI,CAP,OFX,LEV,MXF,ETH,PAS,CYS,LIN,CFZ,AMI_PHENOTYPE_QUALITY,CYS_PHENOTYPE_QUALITY,EMB_PHENOTYPE_QUALITY,ETH_PHENOTYPE_QUALITY,INH_PHENOTYPE_QUALITY,KAN_PHENOTYPE_QUALITY,MXF_PHENOTYPE_QUALITY,OFX_PHENOTYPE_QUALITY,PAS_PHENOTYPE_QUALITY,RFB_PHENOTYPE_QUALITY,RIF_PHENOTYPE_QUALITY,STR_PHENOTYPE_QUALITY
C197,C197,,CASS,Not specified,MYCOTB,8.0,2.0,8.0,,1.5,2.0,2.5,0.2,,0.5,,0.125,20.0,0.25,8.0,,,,,,,,,,,,,,
C198,C198,,CASS,Not specified,MYCOTB,0.06,0.06,0.25,,1.0,0.25,1.2,0.2,,0.5,,0.062,0.6,0.25,16.0,,,,,,,,,,,,,,
C199,C199,,CASS,Not specified,MYCOTB,8.0,1.0,2.0,,4.0,32.0,0.6,0.2,,0.5,,0.062,10.0,0.25,16.0,,,,,,,,,,,,,,
C200,C200,,CASS,Not specified,MYCOTB,8.0,4.0,4.0,,3.0,32.0,1.2,0.2,,8.0,,1.0,5.0,0.25,32.0,,,,,,,,,,,,,,
C201,C201,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.5,5.0,0.4,,1.0,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C203,C203,,CASS,Not specified,MYCOTB,0.125,0.06,0.12,,1.0,0.25,1.2,0.2,,1.0,,0.125,0.6,0.25,16.0,,,,,,,,,,,,,,
C205,C205,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.5,5.0,0.4,,1.0,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C206,C206,,CASS,Not specified,MYCOTB,8.0,0.25,8.0,,1.0,32.0,2.5,0.2,,0.5,,0.03,5.0,0.25,32.0,,,,,,,,,,,,,,
C207,C207,,CASS,Not specified,MYCOTB,8.0,1.0,2.0,,8.0,2.0,40.0,12.8,,32.0,,2.0,10.0,0.25,32.0,,,,,,,,,,,,,,
C208,C208,,CASS,Not specified,MYCOTB,8.0,4.0,2.0,,4.0,32.0,0.6,0.8,,4.0,,0.5,5.0,0.25,16.0,,,,,,,,,,,,,,
C210,C210,,CASS,Not specified,MYCOTB,8.0,0.25,1.0,,1.0,32.0,0.6,0.096,,0.5,,0.062,2.5,0.25,16.0,,,,,,,,,,,,,,
C211,C211,,CASS,Not specified,MYCOTB,8.0,4.0,4.0,,8.0,32.0,1.2,0.2,,8.0,,1.0,10.0,0.25,32.0,,,,,,,,,,,,,,
C212,C212,,CASS,Not specified,MYCOTB,8.0,0.25,1.0,,1.0,0.25,1.2,0.2,,0.5,,0.062,5.0,0.25,16.0,,,,,,,,,,,,,,
C213,C213,,CASS,Not specified,MYCOTB,8.0,4.0,2.0,,4.0,32.0,40.0,12.8,,16.0,,2.0,10.0,1.0,32.0,,,,,,,,,,,,,,
C214,C214,,CASS,Not specified,MYCOTB,8.0,1.0,2.0,,,0.25,1.2,0.2,,0.5,,0.062,10.0,0.25,32.0,,,,,,,,,,,,,,
C216,C216,,CASS,Not specified,MYCOTB,0.125,0.03,0.06,,1.0,0.5,2.5,0.4,,1.0,,0.094,1.2,0.25,16.0,,,,,,,,,,,,,,
C218,C218,,CASS,Not specified,MYCOTB,0.06,0.03,0.06,,0.5,0.125,2.5,0.2,,0.5,,0.062,1.2,0.25,8.0,,,,,,,,,,,,,,
C219,C219,,CASS,Not specified,MYCOTB,0.06,0.06,0.06,,1.0,0.5,5.0,0.4,,0.5,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C222,C222,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,4.0,0.5,1.2,0.2,,0.5,,0.062,1.2,0.25,16.0,,,,,,,,,,,,,,
C223,C223,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.5,5.0,0.4,,0.5,,0.062,1.2,0.25,16.0,,,,,,,,,,,,,,
C224,C224,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,2.0,0.25,2.5,0.2,,0.5,,0.062,1.2,0.25,16.0,,,,,,,,,,,,,,
C225,C225,,CASS,Not specified,MYCOTB,0.06,2.0,0.12,,1.0,32.0,2.5,0.2,,0.5,,0.062,1.2,0.25,16.0,,,,,,,,,,,,,,
C226,C226,,CASS,Not specified,MYCOTB,0.06,0.03,0.06,,1.0,0.125,1.2,0.2,,0.5,,0.062,0.6,0.25,16.0,,,,,,,,,,,,,,
C227,C227,,CASS,Not specified,MYCOTB,0.03,0.03,0.06,,1.0,0.125,1.2,0.2,,0.5,,0.062,0.6,0.25,16.0,,,,,,,,,,,,,,
C228,C228,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,0.25,2.5,0.2,,0.5,,0.062,2.5,0.25,16.0,,,,,,,,,,,,,,
C229,C229,,CASS,Not specified,MYCOTB,0.06,0.25,0.12,,1.0,0.5,5.0,0.4,,1.0,,0.125,1.2,1.0,32.0,,,,,,,,,,,,,,
C230,C230,,CASS,Not specified,MYCOTB,8.0,4.0,2.0,,4.0,32.0,40.0,12.8,,1.0,,0.125,2.5,1.0,32.0,,,,,,,,,,,,,,
C231,C231,,CASS,Not specified,MYCOTB,8.0,4.0,8.0,,2.0,16.0,40.0,12.8,,16.0,,2.0,5.0,1.0,16.0,,,,,,,,,,,,,,
