Serial No.,Original ID,GReAT ID,Judgement,Medium,INH,RFP,RFB,EB,SM,KM,AMK,CPM,OFLX,LVFX,MFLX,TH,PAS,CS,LZD,MEP/CV,EVM,,Original ID,Judgement (w),Method,INH 0.2,INH 1.0,RFP 40,EB 2.0,SM 4.0,KM20,KM 30,AMK 30,CPM 40,LVFX 2.0,MFLX 0.5,TH 40,CS 30,PAS 1.0,Comments
42,15-D15-12,JPN-R2012-0042,10days,7H9,8,>32,>8,8,>64,2,1,2,2,1,0.25,16,>64,8,0.5,0.03/32,4,,15-D15-12,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,R,
43,15-D14-1,JPN-R2012-0043,10days,7H9,0.5,8,8,2,1,4,1,2,1,0.5,0.12,1,>64,16,1,1/32,8,,15-D14-1,6,L-J,S,S,R,S,S,S,S,S,S,S,S,S,S,S,
44,15-D14-2,JPN-R2012-0044,10days,7H9,0.25,1,4,4,8,4,1,2,0.5,0.25,0.06,0.5,>64,32,1,0.06/32,4,,15-D14-2,6,L-J,S,S,R,R,R,R,R,S,R,S,S,S,S,R,
45,15-D14-3,JPN-R2012-0045,10days,7H9,4,>32,1,2,>64,>64,>64,32,0.5,0.5,0.12,32,>64,>128,0.5,0.5/32,16,,15-D14-3,6,L-J,R,S,R,R,R,R,R,R,R,S,S,R,S,S,
46,15-D14-4,JPN-R2012-0046,10days,7H9,16,>32,4,8,>64,2,1,4,0.5,0.25,0.06,2,>64,32,1,1/32,8,,15-D14-4,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
47,15-D14-5,JPN-R2012-0047,10days,7H9,8,0.25,0.03,4,>64,4,2,4,1,0.5,0.12,2,>64,32,1,2/32,8,,15-D14-5,6,L-J,R,R,S,R,R,S,S,S,S,S,S,S,S,S,
48,15-D14-6,JPN-R2012-0048,10days,7H9,2,0.5,0.03,1,2,4,2,4,1,0.5,0.12,1,>64,32,1,2/32,8,,15-D14-6,6,L-J,R,S,S,S,S,S,S,S,S,S,S,S,S,S,
49,15-D14-7,JPN-R2012-0049,10days,7H9,8,1,0.03,4,>64,4,2,8,4,2,1,1,>64,64,1,2/32,16,,15-D14-7,6,L-J,R,R,S,R,R,R,S,S,R,R,R,S,R,R,
50,15-D14-8,JPN-R2012-0050,10days,7H9,8,1,0.12,8,>64,4,2,4,4,2,0.5,2,>64,32,1,2/32,8,,15-D14-8,6,L-J,R,R,R,R,R,S,S,S,S,R,R,S,S,S,
51,15-D14-9,JPN-R2012-0051,10days,7H9,16,>32,2,8,8,>64,>64,16,4,2,0.5,16,>64,64,0.5,0.5/32,4,,15-D14-9,6,L-J,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
52,15-D14-10,JPN-R2012-0052,10days,7H9,8,8,0.25,16,64,>64,>64,32,4,2,0.5,4,>64,32,1,0.5/32,8,,15-D14-10,6,L-J,R,R,R,R,R,R,R,R,R,R,R,R,S,R,
53,15-D14-11,JPN-R2012-0053,10days,7H9,8,>32,2,8,>64,>64,>64,8,16,8,2,4,>64,32,1,1/32,4,,15-D14-11,6,L-J,R,R,R,R,R,R,R,R,R,R,R,R,S,R,
54,15-D14-12,JPN-R2012-0054,10days,7H9,8,>32,2,8,4,>64,>64,32,16,8,2,2,>64,64,0.5,0.5/32,4,,15-D14-12,6,L-J,R,R,R,R,S,R,R,R,R,R,R,R,R,R,
55,15-D14-13,JPN-R2012-0055,10days,7H9,8,8,0.12,8,8,4,2,4,1,0.5,0.12,8,>64,16,1,4/32,8,,15-D14-13,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
56,15-F13-2,JPN-R2012-0056,10days,7H9,8,>32,8,4,2,4,2,4,0.5,0.25,0.12,1,>64,16,1,1/32,8,,15-F13-2,6,L-J,R,R,R,R,S,R,S,S,R,S,S,S,S,S,
57,15-TS-1,JPN-R2012-0057,10days,7H9,2,>32,4,4,8,>64,>64,32,1,0.5,0.12,8,>64,64,1,2/32,4,,15-TS-1,6,L-J,R,S,R,R,S,R,R,R,R,S,S,R,S,S,
58,15-TS-2,JPN-R2012-0058,10days,7H9,8,>32,8,8,>64,4,2,4,16,8,2,32,>64,32,1,4/32,8,,15-TS-2,6,L-J,R,R,R,R,R,S,S,S,S,R,R,R,S,S,
59,15-B18-1,JPN-R2011-0059,10days,7H9,8,>32,4,1,1,2,1,4,0.5,0.25,0.06,4,>64,16,0.5,1/32,8,,15-B18-1,6,L-J,R,R,R,S,S,S,S,S,S,S,S,R,S,S,
60,15-B18-2,JPN-R2011-0060,10days,7H9,>32,>32,>8,8,>64,2,2,4,16,8,2,4,>64,16,1,0.5/32,8,,15-B18-2,6,L-J,R,R,R,R,R,S,S,S,S,R,R,R,S,S,
61,15-B18-3,JPN-R2011-0061,10days,7H9,4,>32,8,2,2,2,1,2,0.5,0.25,0.12,32,>64,16,1,2/32,4,,15-B18-3,6,L-J,R,S,R,S,S,S,S,S,S,S,S,R,S,S,
62,15-B18-4,JPN-R2011-0062,10days,7H9,2,>32,>8,0.5,1,4,2,4,1,0.5,0.12,1,>64,16,1,1/32,8,,15-B18-4,6,L-J,S,S,R,S,S,S,S,S,S,S,S,S,S,S,
63,15-B18-5,JPN-R2011-0063,10days,7H9,8,>32,2,4,>64,>64,>64,32,16,8,2,2,>64,16,1,0.5/32,8,,15-B18-5,6,L-J,R,R,R,R,R,R,R,R,R,R,R,R,S,R,
64,15-B18-6,JPN-R2011-0064,10days,7H9,>32,32,2,8,>64,>64,>64,>32,8,4,2,2,>64,32,0.5,0.5/32,>32,,15-B18-6,6,L-J,R,R,R,R,R,R,R,R,R,R,R,R,S,R,
65,15-B18-7,JPN-R2011-0065,10days,7H9,2,>32,4,8,>64,16,2,4,4,2,1,16,>64,64,1,2/32,8,,15-B18-7,6,L-J,R,S,R,R,R,R,R,S,S,R,R,S,S,S,
66,15-B18-9,JPN-R2011-0066,10days,7H9,16,>32,4,2,0.5,1,0.5,1,2,1,0.25,4,8,8,0.25,0.12/32,2,,15-B18-9,6,L-J,R,R,R,S,S,S,S,S,S,R,R,S,S,S,
67,15-B18-10,JPN-R2011-0067,10days,7H9,4,>32,4,4,4,4,2,4,0.5,0.25,0.12,4,>64,16,0.5,2/32,8,,15-B18-10,6,L-J,R,S,R,R,S,S,S,S,S,S,S,S,S,R,
68,15-B18-11,JPN-R2011-0068,10days,7H9,2,2,0.06,1,>64,2,2,4,8,4,1,8,>64,16,1,2/32,8,,15-B18-11,6,L-J,R,S,R,S,R,S,S,S,S,R,R,R,S,S,
69,15-B18-14,JPN-R2011-0069,10days,7H9,1,0.03,≤0.008,1,1,4,2,4,8,4,1,2,>64,16,0.5,2/32,8,,15-B18-14,6,L-J,S,S,S,S,S,S,S,S,S,R,R,S,S,S,
70,15-B18-15,JPN-R2011-0070,10days,7H9,8,>32,2,1,4,16,2,4,1,0.5,0.12,4,>64,16,1,0.25/32,8,,15-B18-15,6,L-J,R,R,R,S,R,R,R,S,S,S,S,S,S,S,
71,15-B18-16,JPN-R2011-0071,10days,7H9,>32,>32,8,1,1,2,1,2,8,4,2,4,>64,64,0.5,2/32,4,,15-B18-16,6,L-J,R,R,R,S,S,S,S,S,S,R,R,S,S,S,
72,15-B18-17,JPN-R2011-0072,10days,7H9,>32,>32,4,4,2,1,1,2,0.5,0.25,0.12,1,>64,16,0.5,0.5/32,4,,15-B18-17,6,L-J,R,R,R,S,S,S,S,S,S,S,S,S,S,S,
73,15-B18-18,JPN-R2011-0073,10days,7H9,1,>32,>8,2,4,4,2,4,1,0.5,0.12,4,>64,16,1,2/32,8,,15-B18-18,6,L-J,S,S,R,S,S,S,S,S,S,S,S,S,S,S,
74,15-B18-19,JPN-R2011-0074,10days,7H9,8,≤0.015,≤0.008,0.5,1,2,1,2,1,0.5,0.12,1,>64,8,1,0.25/32,4,,15-B18-19,6,L-J,R,R,S,S,S,S,S,S,S,S,S,S,S,S,
75,15-B18-20,JPN-R2012-0075,10days,7H9,4,>32,4,8,>64,2,1,4,4,2,0.5,32,>64,16,0.5,0.5/32,4,,15-B18-20,6,L-J,R,R,R,R,R,S,S,S,S,R,R,R,S,R,
76,15-B18-21,JPN-R2012-0076,10days,7H9,8,>32,4,32,>64,>64,>64,32,16,8,2,4,>64,>128,1,1/32,,,15-B18-21,6,L-J,R,R,R,R,R,R,R,R,R,R,R,S,R,R,
78,15-B18-23,JPN-R2012-0078,10days,7H9,8,>32,4,16,>64,2,1,2,4,2,0.5,4,>64,16,0.5,0.5/32,,,15-B18-23,6,L-J,R,R,R,R,R,S,S,S,S,R,R,R,S,S,
79,15-B18-24,JPN-R2012-0079,10days,7H9,4,>32,>8,8,4,2,1,2,16,8,2,8,>64,16,1,0.5/32,,,15-B18-24,6,L-J,R,S,R,R,R,S,S,S,S,R,R,R,S,S,
80,15-B18-25,JPN-R2012-0080,10days,7H9,16,>32,8,16,32,>64,>64,16,16,4,2,>32,>64,64,1,1/32,,,15-B18-25,6,L-J,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
81,15-B18-26,JPN-R2012-0081,10days,7H9,16,>32,8,>32,>64,4,2,4,16,8,2,8,>64,32,1,2/32,,,15-B18-26,6,L-J,R,R,R,R,R,S,S,S,S,R,R,R,S,R,
82,15-B18-27,JPN-R2012-0082,10days,7H9,>32,4,0.06,8,>64,16,4,>32,>32,>32,16,4,>64,8,1,0.06/32,,,15-B18-27,6,L-J,R,R,R,R,R,R,S,S,R,R,R,S,S,R,
83,15-B18-28,JPN-R2012-0083,10days,7H9,8,1,0.25,8,>64,2,1,2,0.5,0.25,0.12,2,>64,16,0.5,0.5/32,,,15-B18-28,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
84,15-B18-29,JPN-R2012-0084,10days,7H9,>32,>32,>8,4,>64,2,2,4,0.5,0.5,0.12,4,>64,16,2,1/32,,,15-B18-29,6,L-J,R,R,R,S,R,S,S,S,S,S,S,R,S,R,
85,15-B18-30,JPN-R2012-0085,10days,7H9,>32,>32,8,8,64,32,4,>32,8,4,1,16,>64,64,1,0.5/32,,,15-B18-30,6,L-J,R,R,R,R,R,R,R,S,R,R,R,R,R,R,
86,15-B18-31,JPN-R2012-0086,10days,7H9,>32,>32,4,32,>64,>64,>64,8,1,0.5,0.25,2,>64,64,0.5,0.5/32,,,15-B18-31,6,L-J,R,R,R,R,R,R,R,R,S,S,S,S,S,S,
87,15-B18-32,JPN-R2012-0087,10days,7H9,2,32,2,16,4,2,1,2,2,1,0.25,>32,>64,4,0.5,0.25/32,,,15-B18-32,6,L-J,R,S,R,R,S,S,S,S,S,S,S,R,S,S,
88,15-B18-33,JPN-R2012-0088,10days,7H9,>32,2,0.12,8,1,2,1,2,2,1,0.25,32,>64,8,0.5,0.06/32,,,15-B18-33,6,L-J,R,R,R,S,S,S,S,S,S,S,S,S,S,S,
89,15-B18-34,JPN-R2012-0089,10days,7H9,8,>32,4,16,32,64,4,4,16,8,2,8,>64,32,1,1/32,,,15-B18-34,6,L-J,R,R,R,R,R,R,R,S,S,R,R,R,S,R,
90,15-B18-35,JPN-R2012-0090,10days,7H9,16,>32,8,16,1,2,1,4,4,2,0.5,2,>64,16,1,0.5/32,,,15-B18-35,6,L-J,R,R,R,R,S,S,S,S,S,R,R,S,S,S,
91,15-B18-36,JPN-R2012-0091,10days,7H9,4,0.03,0.016,2,1,4,2,4,1,0.5,0.12,2,>64,16,1,0.5/32,,,15-B18-36,6,L-J,R,S,S,S,S,S,S,S,S,S,S,S,S,S,
92,15-B18-37,JPN-R2013-0092,10days,7H9,4,>32,8,4,>64,2,1,4,1,0.5,0.12,32,>64,32,1,0.5/32,,,15-B18-37,6,L-J,R,S,R,S,R,S,S,S,S,S,S,R,S,S,
93,15-B18-38,JPN-R2013-0093,10days,7H9,8,8,2,16,>64,2,2,4,0.5,0.25,0.12,2,>64,16,0.5,0.5/32,,,15-B18-38,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
94,15-B18-39,JPN-R2013-0094,10days,7H9,8,>32,8,8,>64,4,2,4,0.5,0.5,0.12,4,>64,16,1,0.5/32,,,15-B18-39,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
95,15-B18-40,JPN-R2013-0095,10days,7H9,>32,4,0.12,8,>64,4,1,16,2,1,0.25,8,>64,32,2,0.5/32,,,15-B18-40,6,L-J,R,R,R,R,R,S,S,S,R,R,R,R,S,R,
96,15-B18-41,JPN-R2013-0096,10days,7H9,>32,32,4,8,>64,4,2,16,0.5,0.5,0.12,2,>64,16,1,0.5/32,,,15-B18-41,6,L-J,R,R,R,R,R,S,S,S,R,S,S,S,S,R,
97,15-B18-43,JPN-R2013-0097,10days,7H9,8,32,4,16,>64,>64,>64,32,16,8,2,4,>64,16,1,0.5/32,,,15-B18-43,6,L-J,R,R,R,R,R,R,R,R,R,R,R,R,S,R,
98,15-B18-44,JPN-R2013-0098,10days,7H9,>32,32,4,32,64,64,8,4,32,16,4,4,>64,64,1,2/32,,,15-B18-44,6,L-J,R,R,R,R,R,R,R,S,S,R,R,R,R,R,
99,15-B18-45,JPN-R2013-0099,10days,7H9,2,>32,8,8,4,4,2,4,8,4,1,>32,>64,32,1,1/32,,,15-B18-45,6,L-J,R,S,R,R,S,S,S,S,S,R,R,R,S,S,
100,15-B18-46,JPN-R2013-0100,10days,7H9,4,8,0.5,8,>64,2,1,2,0.5,0.5,0.12,4,>64,16,1,1/32,,,15-B18-46,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
101,15-B18-47,JPN-R2013-0101,10days,7H9,2,8,0.25,2,>64,2,1,4,2,1,0.25,>32,>64,8,1,0.12/32,,,15-B18-47,6,L-J,R,S,R,S,R,S,S,S,S,S,S,R,S,S,
102,15-B18-48,JPN-R2013-0102,10days,7H9,8,>32,8,8,>64,4,2,2,16,8,2,1,>64,32,0.5,2/32,,,15-B18-48,6,L-J,R,R,R,R,R,S,S,S,S,R,R,S,S,S,
103,15-B18-49,JPN-R2014-0103,10days,7H9,2,8,0.25,2,>64,2,1,4,2,1,0.25,>32,>64,8,1,0.25/32,,,15-B18-49,6,L-J,R,S,R,S,R,S,S,S,S,S,S,R,S,S,
104,15-B18-50,JPN-R2014-0104,10days,7H9,1,>32,>8,1,2,1,1,2,1,0.5,0.12,16,>64,8,1,0.03/64,,,15-B18-50,6,L-J,R,S,R,S,S,S,S,S,S,S,S,R,S,S,
105,15-B18-51,JPN-R2014-0105,10days,7H9,8,>32,8,16,>64,2,1,2,16,8,2,1,>64,16,0.5,0.5/32,,,15-B18-51,6,L-J,R,R,R,R,R,S,S,S,S,R,R,S,S,S,
106,15-B18-52,JPN-R2014-0106,10days,7H9,>32,32,4,8,32,16,4,32,8,4,2,>32,>64,64,1,0.25/32,,,15-B18-52,6,L-J,R,R,R,R,R,R,R,S,R,R,R,R,R,R,
107,15-B18-53,JPN-R2014-0107,10days,7H9,1,>32,>8,8,32,4,2,4,1,0.5,0.25,0.5,>64,16,1,0.25/32,,,15-B18-53,6,L-J,S,S,R,R,R,S,S,S,S,S,S,S,S,R,
108,15-B18-54,JPN-R2014-0108,10days,7H9,16,>32,4,8,4,4,2,4,1,0.5,0.12,2,>64,16,1,0.25/32,,,15-B18-54,6,L-J,R,R,R,R,R,S,S,S,S,S,S,S,S,S,
109,15-B18-55,JPN-R2014-0109,10days,7H9,8,32,4,8,>64,8,4,4,16,8,2,1,>64,16,1,0.5/32,,,15-B18-55,6,L-J,R,R,R,R,R,S,S,S,S,R,R,S,S,S,
110,15-B18-56,JPN-R2014-0110,10days,7H9,2,>32,4,8,8,8,2,32,8,4,1,8,>64,32,1,0.25/32,,,15-B18-56,6,L-J,R,S,R,R,S,S,S,S,R,R,R,R,S,S,
111,15-B18-57,JPN-R2014-0111,10days,7H9,2,>32,8,16,>64,32,4,4,4,2,1,32,>64,64,1,0.5/32,,,15-B18-57,6,L-J,R,S,R,R,R,R,R,S,S,R,R,S,S,S,
112,15-B18-58,JPN-R2014-0112,10days,7H9,8,>32,8,8,>64,2,1,4,1,0.5,0.12,2,>64,32,1,0.5/32,,,15-B18-58,6,L-J,R,R,R,S,R,S,S,S,S,S,S,S,S,S,
113,15-B18-59,JPN-R2014-0113,10days,7H9,2,>32,4,8,4,32,2,4,0.5,0.25,0.12,8,>64,16,1,0.5/32,,,15-B18-59,6,L-J,S,S,R,R,S,R,R,S,S,S,S,S,S,S,
114,15-B18-60,JPN-R2014-0114,10days,7H9,4,32,4,1,1,4,2,4,0.5,0.25,0.12,1,>64,16,1,0.25/32,,,15-B18-60,6,L-J,R,R,R,S,S,R,S,S,S,S,S,S,S,S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
