Continent,Country,Region (Province or State),Organism,"SubType (e.g., Rif-S, Rif-R, MDR, Pre-XDR, XDR-TB)",WGS_fastqID,Date of DST,Investigator Name,BDQ MGIT,BDQ Agar,BDQ Broth,INH,RMP,LZD,CFZ,LVX,OFX,MXF,CAP,KAN,AMI,EMB
Africa,South Africa,Western Cape,M. tuberculosis,Rif-S,TRL0065056,21/01/2016,CTB,0.5,0.25,0.03,≤0.03,≤0.06,1,0.06,0.25,0.25,0.25,2,4,1,1
Africa,South Africa,Northern Cape,M. tuberculosis,MDR,TRL0065060,04/02/2016,CTB,≤0.12,0.06,0.015,1,>4,0.5,0.06,0.25,0.5,0.12,4,0.5,1,>16
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0065126,21/01/2016,CTB,0.5,0.06,0.06,0.5,0.12,0.5,0.25,1,2,0.25,4,8,1,2
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-S,TRL0066006,21/01/2016,CTB,0.5,0.25,0.06,0.06,0.12,2,0.06,1,1,0.25,4,4,2,2
Africa,South Africa,Northern Cape,M. tuberculosis,MDR,TRL0069553,20/01/2016,CTB,≤0.12,0.12,0.03,8,>4,2,0.03,0.5,1,0.25,2,2,1,4
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0071026,20/01/2016,CTB,0.5,0.12,0.03,≤0.03,>4,1,≤0.015,0.25,0.5,0.12,4,4,1,1
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0072847,21/01/2016,CTB,0.5,0.25,≤0.008,0.06,>4,0.5,0.03,0.5,1,0.25,2,2,1,1
Africa,South Africa,Limpopo,M. tuberculosis,Rif-S,TRL0073196,26/01/2016,CTB,0.25,0.25,0.015,4,0.5,0.5,≤0.015,0.5,0.5,0.12,1,1,0.5,4
Africa,South Africa,Limpopo,M. tuberculosis,MDR,TRL0073861,25/01/2016,CTB,0.25,0.12,0.03,4,>4,1,0.03,0.5,1,0.25,2,2,0.5,2
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0074347,27/01/2016,CTB,0.25,0.25,0.03,8,>4,0.5,0.06,4,8,1,0.5,1,0.5,16
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0074450,02/01/2016,CTB,0.25,0.06,0.03,≤0.03,>4,1,0.12,0.25,0.5,0.12,2,4,1,1
Africa,South Africa,Western Cape,M. tuberculosis,XDR,TRL0078924,26/01/2016,CTB,0.5,0.25,0.06,>16,>4,1,0.12,>4,>8,4,16,>16,>16,8
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0079859,25/01/2016,CTB,0.5,0.5,0.03,≤0.03,>4,1,0.06,0.25,0.5,0.25,2,2,0.5,1
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0080690,25/01/2016,CTB,0.25,0.5,0.06,≤0.03,>4,1,0.06,≤0.12,0.5,0.12,2,4,2,≤0.25
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0080727,28/01/2016,CTB,0.25,0.12,≤0.008,0.5,>4,≤0.12,≤0.015,0.5,1,0.12,0.5,0.5,≤0.12,16
Africa,South Africa,Gauteng,M. tuberculosis,MDR,TRL0081287,21/01/2016,CTB,0.25,0.25,0.06,1,>4,8,0.06,2,2,0.12,2,2,1,2
Africa,South Africa,Gauteng,M. tuberculosis,Rif-S,TRL0083443,04/02/2016,CTB,0.25,0.12,0.03,≤0.03,≤0.06,1,0.03,0.25,0.5,≤0.06,0.5,1,1,1
Africa,South Africa,Gauteng,M. tuberculosis,Rif-S,TRL0083468,05/02/2016,CTB,0.5,0.25,0.03,0.12,0.12,1,0.06,0.5,1,0.25,4,4,1,2
Africa,South Africa,Gauteng,M. tuberculosis,Rif-S,TRL0083502,05/02/2016,CTB,0.25,0.06,≤0.008,≤0.03,≤0.06,1,0.06,0.25,0.5,≤0.06,2,1,1,1
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0084661,20/01/2016,CTB,≤0.12,0.06,≤0.008,>16,>4,1,≤0.015,0.25,0.5,0.12,2,2,1,16
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0084676,25/01/2016,CTB,0.5,0.12,0.03,0.5,>4,1,0.25,0.5,1,0.25,4,2,2,2
Africa,South Africa,Limpopo,M. tuberculosis,Rif-S,TRL0085353,22/01/2016,CTB,0.5,0.25,0.06,0.12,≤0.06,4,1,1,1,0.25,4,2,2,2
Africa,South Africa,Limpopo,M. tuberculosis,MDR,TRL0085451,27/01/2016,CTB,1,0.25,0.03,>16,>4,2,0.5,1,1,0.12,4,4,1,>16
Africa,South Africa,Limpopo,M. tuberculosis,MDR,TRL0085876,21/01/2016,CTB,0.5,0.25,0.06,8,>4,0.5,0.12,0.5,0.5,0.25,2,4,1,1
Africa,South Africa,Limpopo,M. tuberculosis,MDR,TRL0086437,21/01/2016,CTB,0.5,0.25,0.03,8,>4,0.5,0.03,0.5,0.5,0.25,2,2,0.5,16
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0086755,02/03/2016,CTB,1,0.25,0.12,0.06,>4,0.5,0.5,0.5,1,0.25,2,4,1,2
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0088085,16/03/2016,CTB,≤0.12,0.03,≤0.008,1,>4,0.5,0.03,4,8,2,4,4,2,16
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0090177,04/02/2016,CTB,0.5,0.03,0.015,≤0.03,>4,1,0.03,0.25,0.5,≤0.06,2,2,0.5,1
Africa,South Africa,Northern Cape,M. tuberculosis,MDR,TRL0090417,16/03/2016,CTB,≤0.12,0.06,0.015,8,>4,1,0.03,0.25,0.5,0.12,2,2,1,8
Africa,South Africa,Limpopo,M. tuberculosis,Rif-S,TRL0090790,25/01/2016,CTB,0.25,0.25,≤0.008,≤0.03,≤0.06,0.5,0.03,0.25,≤0.12,0.12,2,0.5,0.5,1
Africa,South Africa,Limpopo,M. tuberculosis,Rif-R,TRL0090962,02/03/2016,CTB,0.25,0.25,0.06,0.06,>4,0.5,0.12,0.5,1,0.25,4,2,1,2
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0091794,27/01/2016,CTB,≤0.12,0.12,0.015,16,>4,1,0.06,1,1,0.25,0.5,1,0.5,4
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,TRL0091844,26/01/2016,CTB,≤0.12,0.25,0.06,1,>4,0.25,0.03,0.5,1,0.25,1,0.5,0.25,16
Africa,South Africa,Gauteng,M. tuberculosis,Rif-S,TRL0093860,05/02/2016,CTB,0.5,0.03,0.03,0.06,0.5,2,0.12,0.5,1,0.25,2,2,0.25,2
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0095023,20/01/2016,CTB,0.25,0.25,0.03,4,>4,1,0.03,0.5,1,0.25,2,2,1,4
Africa,South Africa,Limpopo,M. tuberculosis,Rif-S,TRL0095895,04/02/2016,CTB,0.5,0.12,0.12,0.06,0.25,0.25,0.03,0.5,1,0.25,2,4,1,1
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0097309,26/01/2016,CTB,≤0.12,0.12,0.015,1,>4,1,0.03,0.5,0.5,0.12,4,2,1,16
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0099205,16/03/2016,CTB,0.5,0.12,0.015,≤0.03,>4,0.25,0.03,0.25,0.5,0.25,2,2,1,2
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0100824,04/02/2016,CTB,0.25,0.06,0.015,8,>4,0.5,0.03,0.25,0.5,≤0.06,1,0.25,0.5,8
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0101440,20/01/2016,CTB,≤0.12,0.03,≤0.008,0.5,>4,1,≤0.015,≤0.12,0.5,0.25,2,2,1,8
Africa,South Africa,Free State,M. tuberculosis,MDR,TRL0101901,20/01/2016,CTB,0.25,0.12,0.03,8,>4,1,≤0.015,0.5,1,0.25,2,2,1,4
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0103300,02/03/2016,CTB,0.5,0.25,0.06,4,>4,0.5,0.06,1,4,1,4,4,1,8
Africa,South Africa,Western Cape,M. tuberculosis,Rif-S,TRL0103669,29/01/2016,CTB,≤0.12,0.06,0.015,0.12,≤0.06,1,≤0.015,0.25,0.5,0.12,2,2,1,≤0.25
Africa,South Africa,Western Cape,M. tuberculosis,Rif-S,TRL0105138,08/02/2016,CTB,0.25,0.5,0.015,0.06,≤0.06,0.5,0.03,0.25,0.5,0.25,1,2,0.5,1
Africa,South Africa,Free State,M. tuberculosis,Rif-R,TRL0105148,26/01/2016,CTB,1,0.5,0.12,0.12,>4,4,0.25,1,0.5,0.25,2,4,2,2
Africa,South Africa,Free State,M. tuberculosis,MDR,TRL0105195,22/01/2016,CTB,0.25,0.06,0.015,4,>4,0.25,≤0.015,0.25,0.5,0.12,2,1,0.25,16
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0107371,20/01/2016,CTB,0.5,0.25,0.03,2,>4,0.5,0.03,0.25,0.5,0.12,1,2,0.5,8
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0107570,25/01/2016,CTB,≤0.12,0.12,0.015,0.25,>4,1,0.12,0.25,1,0.12,2,2,1,8
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0108114,26/01/2016,CTB,1,0.25,0.03,4,>4,0.5,0.03,0.5,0.5,0.12,1,2,0.5,2
Africa,South Africa,Free State,M. tuberculosis,MDR,TRL0108514,26/01/2016,CTB,0.5,0.25,0.03,4,>4,1,0.06,0.5,1,0.25,2,2,0.5,8
Africa,South Africa,Free State,M. tuberculosis,Rif-R,TRL0109157,25/01/2016,CTB,≤0.12,0.12,0.015,0.25,>4,1,0.03,0.5,1,0.25,2,1,1,8
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0110907,28/01/2016,CTB,≤0.12,0.12,0.015,1,>4,1,0.12,0.25,0.5,0.12,2,2,1,16
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0111034,02/01/2016,CTB,0.5,0.25,0.06,8,>4,4,0.06,1,1,0.25,2,2,1,8
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0112235,20/01/2016,CTB,0.5,0.5,0.06,>16,>4,1,0.03,0.5,1,0.25,0.5,1,0.5,16
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0112827,28/01/2016,CTB,0.25,0.06,0.06,4,>4,0.5,0.06,0.25,0.5,0.25,1,2,1,1
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0112877,22/01/2016,CTB,0.5,0.5,0.03,2,>4,2,0.03,0.25,1,0.25,2,4,1,1
Africa,South Africa,North West,M. tuberculosis,Rif-R,TRL0112884,08/02/2016,CTB,0.25,0.12,0.03,≤0.03,>4,0.5,0.06,0.5,0.5,0.12,1,2,0.5,2
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0112979,02/03/2016,CTB,0.5,0.06,0.03,4,>4,0.5,0.06,0.5,0.5,0.25,1,2,0.5,1
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Rif-R,TRL0112980,29/01/2016,CTB,1,0.25,0.03,≤0.03,>4,0.5,0.06,0.25,0.5,0.25,1,2,0.5,1
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0113005,02/01/2016,CTB,1,0.25,0.06,4,>4,1,0.12,0.5,1,0.5,2,4,1,8
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0113018,26/01/2016,CTB,≤0.12,0.25,0.03,>16,>4,0.5,0.03,0.25,0.5,0.12,1,2,0.5,4
Africa,South Africa,North West,M. tuberculosis,Rif-R,TRL0113019,20/01/2016,CTB,0.5,0.25,0.06,≤0.03,>4,2,0.03,0.25,1,0.12,2,4,1,1
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0113022,22/01/2016,CTB,0.25,0.12,0.03,8,>4,0.5,≤0.015,0.5,1,0.12,1,1,0.5,16
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0113054,23/02/2016,CTB,1,0.25,0.06,2,>4,1,0.06,0.5,1,0.12,1,2,0.5,4
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,XDR,TRL0113061,26/01/2016,CTB,0.5,0.5,0.03,>16,>4,0.5,0.03,4,8,1,16,>16,>16,16
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0113093,15/02/2016,CTB,0.25,0.25,0.03,16,>4,2,1,0.5,1,0.25,2,2,1,1
Africa,South Africa,North West,M. tuberculosis,Rif-R,TRL0113094,05/02/2016,CTB,0.5,0.12,0.03,≤0.03,>4,0.5,0.03,0.5,1,0.25,1,2,0.5,1
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0113095,20/01/2016,CTB,0.5,0.5,0.06,16,>4,1,0.12,0.5,0.5,0.25,2,2,1,16
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0113098,25/01/2016,CTB,0.5,0.25,0.03,8,>4,0.5,0.06,0.5,1,0.12,2,2,0.5,8
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0113166,08/03/2016,CTB,0.5,0.03,0.03,4,>4,0.5,0.06,0.25,0.5,0.25,1,2,0.5,1
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0113167,28/01/2016,CTB,0.5,0.06,0.03,4,>4,0.5,0.06,0.25,1,0.25,1,2,0.5,1
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-R,TRL0113198,28/01/2016,CTB,0.5,0.25,0.06,≤0.03,>4,1,0.5,1,2,0.5,2,4,1,2
Africa,South Africa,North West,M. tuberculosis,Rif-S,TRL0113257,25/01/2016,CTB,≤0.12,0.12,≤0.008,≤0.03,≤0.06,1,≤0.015,0.25,0.5,≤0.06,2,4,1,1
Africa,South Africa,North West,M. tuberculosis,Rif-R,TRL0113259,25/02/2016,CTB,1,0.12,0.03,≤0.03,>4,1,0.03,0.25,0.5,0.12,2,4,1,1
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-R,TRL0113325,08/02/2016,CTB,0.5,0.25,0.03,≤0.03,>4,1,0.06,0.25,0.5,0.12,2,1,0.5,1
Africa,South Africa,North West,M. tuberculosis,Rif-R,TRL0113326,27/01/2016,CTB,0.25,0.25,0.03,0.06,>4,2,0.06,1,1,0.12,2,4,1,1
Africa,South Africa,North West,M. tuberculosis,Pre-XDR,TRL0113344,21/01/2016,CTB,0.5,0.25,0.03,8,>4,1,0.06,4,8,2,4,2,1,16
Africa,South Africa,North West,M. tuberculosis,Pre-XDR,TRL0113347,21/01/2016,CTB,0.5,0.25,0.03,8,>4,1,0.03,4,8,2,2,2,1,16
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0113427,20/01/2016,CTB,0.25,0.5,0.06,8,>4,1,0.03,0.25,1,0.12,2,1,0.25,4
Africa,South Africa,Northern Cape,M. tuberculosis,Pre-XDR,TRL0113465,25/01/2016,CTB,0.5,0.25,0.03,16,>4,0.5,≤0.015,2,4,0.5,1,1,0.5,16
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0113469,20/01/2016,CTB,0.25,0.5,0.06,4,>4,1,0.03,0.25,0.5,0.25,2,4,1,2
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-R,TRL0113476,26/01/2016,CTB,0.25,0.12,0.03,0.25,>4,0.25,0.03,0.5,0.5,0.25,1,1,0.5,1
Africa,South Africa,North West,M. tuberculosis,Pre-XDR,TRL0113483,25/01/2016,CTB,0.25,0.25,0.06,16,>4,1,0.06,>4,>8,4,4,2,0.25,8
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0113484,26/01/2016,CTB,0.25,0.25,0.03,>16,>4,1,0.03,1,0.5,0.12,2,2,0.5,16
Africa,South Africa,Northern Cape,M. tuberculosis,MDR,TRL0113487,22/01/2016,CTB,0.25,0.06,0.03,>16,>4,1,0.06,2,1,0.5,16,>16,>16,16
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-R,TRL0113491,26/01/2016,CTB,0.25,0.12,0.015,≤0.03,>4,0.5,0.03,0.25,0.5,0.12,1,1,0.5,2
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,TRL0113493,22/01/2016,CTB,0.5,0.25,0.06,1,>4,≤0.12,≤0.015,0.25,0.5,0.25,0.5,2,≤0.12,8
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0113494,15/02/2016,CTB,1,0.25,0.06,8,>4,0.5,0.06,4,8,2,>16,>16,4,8
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-R,TRL0113496,26/01/2016,CTB,1,0.25,0.03,0.06,>4,0.5,0.03,0.5,0.5,0.12,2,2,1,1
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0113512,25/01/2016,CTB,0.5,0.25,0.015,>16,>4,0.5,≤0.015,0.5,0.5,0.25,0.5,1,0.25,>16
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0113519,25/01/2016,CTB,1,0.25,0.03,16,>4,1,0.03,0.25,0.25,≤0.06,2,1,0.5,16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0113569,25/01/2016,CTB,≤0.12,0.5,0.06,>16,>4,1,0.06,4,>8,4,16,>16,>16,8
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0113572,28/01/2016,CTB,0.5,0.06,0.06,4,>4,1,0.12,0.25,0.5,0.25,1,2,1,16
Africa,South Africa,MPUMALANGA,M. tuberculosis,Rif-R,TRL0113579,21/01/2016,CTB,0.5,0.25,0.03,0.25,>4,0.5,0.06,0.25,0.5,0.25,2,2,1,8
Africa,South Africa,MPUMALANGA,M. tuberculosis,MDR,TRL0113580,19/01/2016,CTB,0.5,0.25,0.06,4,>4,0.5,0.03,0.5,1,0.25,2,2,0.5,8
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0113586,27/01/2016,CTB,0.5,0.12,0.03,4,2,1,≤0.015,0.25,0.5,0.12,2,2,1,2
Africa,South Africa,Eastern Cape,M. tuberculosis,Rif-R,TRL0113615,25/01/2016,CTB,1,0.5,0.03,≤0.03,>4,0.5,≤0.015,0.25,≤0.12,≤0.06,1,2,1,0.5
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0113616,27/01/2016,CTB,0.25,0.5,0.12,>16,>4,1,0.12,4,8,2,16,>16,>16,8
Africa,South Africa,MPUMALANGA,M. tuberculosis,MDR,TRL0113626,21/01/2016,CTB,0.5,0.5,0.03,2,>4,0.5,0.06,1,1,0.25,1,1,0.5,8
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,TRL0113629,20/01/2016,CTB,0.25,0.5,≤0.008,0.12,≤0.06,0.5,0.12,≤0.12,2,0.25,8,0.5,1,1
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0113639,28/01/2016,CTB,0.25,0.5,0.06,8,>4,1,0.03,0.25,0.5,0.12,1,0.5,0.5,8
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,TRL0113640,22/01/2016,CTB,0.25,0.25,0.03,8,>4,1,0.12,0.5,1,0.25,2,2,1,16
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0113646,26/01/2016,CTB,≤0.12,0.25,0.03,2,>4,0.5,0.06,0.25,1,0.25,1,2,0.5,2
Africa,South Africa,North West,M. tuberculosis,Rif-R,TRL0113671,26/01/2016,CTB,1,0.25,0.015,≤0.03,>4,0.5,≤0.015,0.25,0.5,0.12,2,8,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,TRL0113702,26/01/2016,CTB,0.5,0.5,0.06,8,>4,0.25,0.25,1,1,0.25,1,2,0.5,8
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,TRL0113733,28/01/2016,CTB,0.25,0.015,0.03,1,>4,≤0.12,0.06,0.5,1,0.25,0.5,0.25,0.5,8
Africa,South Africa,Northern Cape,M. tuberculosis,MDR,TRL0114134,02/01/2016,CTB,1,0.06,≤0.008,8,>4,0.5,≤0.015,0.25,0.5,0.12,1,1,0.5,1
Africa,South Africa,North West,M. tuberculosis,XDR,TRL0114137,19/01/2016,CTB,0.25,0.06,0.06,16,>4,1,0.25,>4,>8,>4,16,>16,>16,8
Africa,South Africa,Western Cape,M. tuberculosis,XDR,TRL0114153,26/01/2016,CTB,≤0.12,0.06,0.015,1,>4,0.5,0.06,4,8,4,2,8,1,2
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0114239,25/01/2016,CTB,≤0.12,0.25,0.03,4,>4,1,0.06,0.5,1,0.25,2,2,1,8
Africa,South Africa,Gauteng,M. tuberculosis,XDR,TRL0114343,28/01/2016,CTB,0.5,0.06,0.06,>16,>4,0.5,≤0.015,>4,>8,>4,16,>16,>16,>16
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0114455,20/01/2016,CTB,≤0.12,0.06,0.015,1,>4,0.25,≤0.015,4,8,2,2,8,2,8
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0114469,26/01/2016,CTB,0.25,0.06,0.06,>16,>4,1,0.25,>4,>8,4,16,>16,>16,8
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0114477,26/01/2016,CTB,0.5,0.12,0.06,2,>4,0.5,0.12,>4,>8,4,2,16,1,8
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0114478,25/01/2016,CTB,1,0.12,0.06,16,>4,0.5,0.06,>4,>8,4,16,>16,>16,>16
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,TRL0114479,29/01/2016,CTB,0.5,0.25,0.015,>16,>4,0.25,≤0.015,4,2,1,1,1,0.5,16
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0114480,19/01/2016,CTB,≤0.12,0.06,≤0.008,1,>4,0.25,≤0.015,4,4,1,2,8,1,16
Africa,South Africa,Gauteng,M. tuberculosis,XDR,TRL0114500,20/01/2016,CTB,1,0.5,0.5,16,>4,8,0.5,>4,>8,>4,>16,>16,>16,8
Africa,South Africa,Gauteng,M. tuberculosis,Rif-R,TRL0114541,28/01/2016,CTB,0.25,0.12,0.03,≤0.03,>4,1,0.03,0.25,0.5,≤0.06,2,4,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,Pre-XDR,TRL0114583,26/01/2016,CTB,≤0.12,0.06,≤0.008,8,>4,0.5,≤0.015,4,4,1,2,2,1,16
Africa,South Africa,Western Cape,M. tuberculosis,MDR,TRL0114585,21/01/2016,CTB,0.5,0.12,0.03,8,>4,0.5,0.03,≤0.12,0.25,≤0.06,1,1,0.5,16
Africa,South Africa,Western Cape,M. tuberculosis,XDR,TRL0114616,21/01/2016,CTB,1,0.12,0.06,>16,>4,1,0.25,4,8,2,16,>16,>16,16
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0114647,22/01/2016,CTB,≤0.12,0.06,0.015,0.25,>4,0.5,0.06,4,>8,4,2,2,1,1
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0114650,19/01/2016,CTB,0.5,0.12,0.06,>16,>4,0.5,0.25,≤0.12,1,0.25,16,>16,>16,16
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0114658,26/01/2016,CTB,≤0.12,0.06,0.015,1,>4,0.25,0.03,>4,8,4,2,2,1,8
Africa,South Africa,Mpumalanga,M. tuberculosis,XDR,TRL0114661,27/01/2016,CTB,0.5,0.25,0.03,>16,>4,0.5,0.03,4,8,2,2,8,2,16
Africa,South Africa,Western Cape,M. tuberculosis,XDR,TRL0114666,15/02/2016,CTB,≤0.12,0.12,0.015,1,>4,0.5,0.03,>4,8,4,16,>16,>16,16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0114667,21/01/2016,CTB,0.5,0.25,0.06,>16,>4,0.5,0.12,>4,>8,>4,16,>16,>16,16
Africa,South Africa,North West,M. tuberculosis,Pre-XDR,TRL0114671,25/02/2016,CTB,≤0.12,0.06,0.015,4,>4,0.25,0.12,2,4,1,1,2,0.5,16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0114680,26/01/2016,CTB,1,0.06,0.015,16,>4,1,≤0.015,4,8,2,16,>16,>16,>16
Africa,South Africa,Gauteng,M. tuberculosis,XDR,TRL0114774,23/03/2016,CTB,0.5,0.12,0.06,>16,>4,1,0.12,>4,>8,>4,>16,>16,>16,8
Africa,South Africa,Western Cape,M. tuberculosis,Rif-S,TRL0114786,27/01/2016,CTB,≤0.12,0.06,0.06,≤0.03,0.12,0.5,0.06,0.25,0.5,0.12,2,2,1,1
Africa,South Africa,Western Cape,M. tuberculosis,Rif-R,TRL0114792,28/01/2016,CTB,≤0.12,0.12,≤0.008,0.25,>4,0.25,≤0.015,1,2,1,8,>16,>16,16
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0114820,25/02/2016,CTB,0.5,0.06,0.015,2,>4,0.25,≤0.015,1,1,0.5,1,1,0.5,8
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0114821,21/01/2016,CTB,1,0.03,0.03,16,>4,1,0.03,1,2,1,2,4,1,>16
Africa,South Africa,Eastern Cape,M. tuberculosis,Pre-XDR,TRL0114825,22/01/2016,CTB,1,0.12,0.06,16,>4,1,0.06,4,8,2,2,4,1,>16
Africa,South Africa,Eastern Cape,M. tuberculosis,Pre-XDR,TRL0114829,27/01/2016,CTB,0.5,0.12,0.03,>16,>4,0.5,0.06,1,2,4,8,>16,>16,8
Africa,South Africa,Eastern Cape,M. tuberculosis,MDR,TRL0114831,28/01/2016,CTB,0.5,0.06,0.03,>16,>4,0.5,≤0.015,0.5,0.5,0.5,2,1,0.25,16
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0114833,23/03/2016,CTB,0.25,0.12,0.06,>16,>4,1,0.12,>4,>8,>4,16,>16,>16,8
Africa,South Africa,Western Cape,M. tuberculosis,XDR,TRL0114836,27/01/2016,CTB,0.5,0.12,0.12,>16,>4,2,0.5,>4,8,4,16,>16,>16,8
Africa,South Africa,Eastern Cape,M. tuberculosis,Pre-XDR,TRL0114845,19/01/2016,CTB,0.5,0.06,0.03,>16,>4,1,0.03,>4,>8,>4,2,2,1,16
Africa,South Africa,North West,M. tuberculosis,MDR,TRL0114849,26/01/2016,CTB,0.5,0.06,0.03,16,>4,0.5,≤0.015,0.5,1,2,2,2,0.5,2
Africa,South Africa,Eastern Cape,M. tuberculosis,XDR,TRL0114962,19/01/2016,CTB,0.5,0.06,0.03,>16,>4,1,0.12,>4,>8,>4,>16,>16,>16,8
Africa,South Africa,Western Cape,M. tuberculosis,Pre-XDR,TRL0114976,20/01/2016,CTB,0.5,0.06,0.06,8,>4,1,0.5,>4,>8,>4,2,2,1,16
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Rif-R,TRL0115004,18/01/2016,CTB,0.25,0.06,0.06,0.06,>4,2,0.12,0.5,2,1,16,>16,>16,1
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Pre-XDR,TRL0115006,19/01/2016,CTB,0.25,0.25,0.06,>16,>4,1,0.25,>4,>8,4,4,4,2,>16
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,XDR,TRL0115007,22/01/2016,CTB,0.5,0.25,0.03,>16,>4,1,≤0.015,4,8,2,2,16,2,8
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Pre-XDR,TRL0115018,19/01/2016,CTB,0.5,0.06,0.06,16,>4,0.5,0.03,>4,>8,4,2,4,1,>16
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Pre-XDR,TRL0115026,27/01/2016,CTB,1,0.25,0.06,16,>4,0.5,0.06,>4,8,4,4,4,2,>16
