Continent,Country,Region (Province or State),Organism,"SubType (e.g., Rif-S, Rif-R, MDR, Pre-XDR, XDR-TB)",WGS_fastqID,Date of DST,Investigator Name,BDQ MGIT,BDQ Agar,BDQ Broth,INH,RMP,LZD,CFZ,LVX,OFX,MXF,CAP,KAN,AMI,EMB
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Rif-S,DH00748222,08/02/2016,CTB,0.25,0.5,0.03,0.06,≤0.06,1,≤0.015,≤0.12,1,0.25,2,1,0.5,1
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,EI00664567,25/01/2016,CTB,1,0.25,0.015,4,>4,0.5,0.03,0.25,0.5,0.12,1,2,0.5,1
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,MDR,FD00214542,20/01/2016,CTB,1,0.5,0.06,4,>4,1,0.03,0.5,0.5,0.12,2,2,1,1
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Pre-XDR,FD00222433,16/03/2016,CTB,0.5,0.12,0.06,>16,>4,1,0.03,>4,>8,4,1,2,0.5,16
Africa,South Africa,KwaZulu-Natal,M. tuberculosis,Rif-R,GH00350830,22/01/2016,CTB,0.25,0.25,0.03,≤0.03,>4,2,0.25,4,1,0.5,4,4,2,1
Africa,South Africa,Gauteng,M. tuberculosis,MDR,IF00091761,16/03/2016,CTB,0.5,0.25,0.06,8,>4,1,0.25,0.5,1,0.12,4,4,2,4
Africa,South Africa,Free State,M. tuberculosis,Rif-R,JA00127310,25/01/2016,CTB,0.25,0.25,0.03,≤0.03,>4,0.5,0.03,0.25,0.5,≤0.06,2,2,0.5,8
Africa,South Africa,Free State,M. tuberculosis,MDR,JA00176841,20/01/2016,CTB,≤0.12,0.25,0.03,4,>4,1,0.06,0.25,0.5,0.12,2,2,1,4
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JA00213685,05/02/2016,CTB,0.5,0.5,0.03,0.06,0.12,1,≤0.015,0.25,0.5,0.25,2,2,1,1
Africa,South Africa,Free State,M. tuberculosis,Rif-R,JA00214410,25/01/2016,CTB,0.5,0.25,0.06,0.25,>4,2,0.5,4,8,2,2,2,1,1
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JA00225792,08/02/2016,CTB,0.5,0.5,0.06,0.06,0.25,1,0.12,0.5,1,0.25,2,4,1,1
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JC00272049,05/02/2016,CTB,≤0.12,0.03,0.015,0.06,0.12,1,≤0.015,0.5,1,0.25,4,4,2,1
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JC00272056,15/02/2016,CTB,0.5,0.5,0.06,0.12,0.12,1,0.12,0.5,1,0.25,16,8,2,2
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JC00276287,08/02/2016,CTB,0.5,0.5,0.03,0.06,0.12,0.5,≤0.015,0.25,0.5,0.12,2,4,1,1
Africa,South Africa,Free State,M. tuberculosis,Rif-R,JD00110569,20/01/2016,CTB,1,0.5,0.12,0.12,>4,2,0.12,0.25,1,0.5,2,4,1,1
Africa,South Africa,Free State,M. tuberculosis,MDR,JD00128975,25/01/2016,CTB,0.25,0.5,0.06,8,>4,1,0.06,≤0.12,0.5,≤0.06,2,2,1,1
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JF00065486,08/02/2016,CTB,0.5,0.5,0.03,0.12,0.25,0.5,0.03,0.25,1,0.25,2,2,1,2
Africa,South Africa,Free State,M. tuberculosis,MDR,JG00224441,25/01/2016,CTB,0.25,0.12,0.06,8,>4,0.25,0.12,0.5,0.5,0.12,2,1,1,8
Africa,South Africa,Free State,M. tuberculosis,MDR,JG00225783,25/01/2016,CTB,1,0.12,0.06,0.5,>4,1,0.06,0.5,1,0.25,1,2,0.5,2
Africa,South Africa,Free State,M. tuberculosis,MDR,JG00244947,28/01/2016,CTB,0.5,0.25,0.03,2,>4,1,0.06,1,1,0.25,1,4,1,2
Africa,South Africa,Free State,M. tuberculosis,MDR,JG00304736,25/01/2016,CTB,0.5,0.25,0.03,8,>4,1,0.25,0.5,2,0.5,4,2,4,16
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JG00406558,04/02/2016,CTB,0.5,0.25,0.015,0.06,≤0.06,0.5,≤0.015,0.25,0.5,0.12,2,4,0.5,1
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JG00406968,08/02/2016,CTB,0.5,0.25,0.015,0.06,0.12,0.5,≤0.015,0.5,0.5,0.12,2,2,0.5,1
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JG00407001,08/02/2016,CTB,≤0.12,0.25,0.015,0.06,0.12,0.5,≤0.015,0.25,0.5,0.25,2,2,0.5,2
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JG00421329,27/01/2016,CTB,0.5,0.25,0.015,≤0.03,0.25,0.5,0.06,0.5,≤0.12,≤0.06,2,2,0.5,1
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JG00423359,15/02/2016,CTB,≤0.12,0.06,0.06,0.06,≤0.06,1,0.25,0.25,0.5,0.12,4,2,1,2
Africa,South Africa,Free State,M. tuberculosis,Rif-S,JG00432562,08/02/2016,CTB,1,0.25,0.03,0.06,0.12,1,0.03,0.25,0.5,0.12,2,2,1,0.5
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-S,KD00109931,15/02/2016,CTB,0.25,0.12,0.06,0.25,≤0.06,1,0.03,0.25,0.5,0.12,2,2,1,2
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-S,KD00166042,29/01/2016,CTB,0.5,0.06,0.03,≤0.03,≤0.06,0.5,0.03,0.25,0.5,≤0.06,2,1,0.5,2
Africa,South Africa,Northern Cape,M. tuberculosis,Rif-R,KD00184898,02/03/2016,CTB,0.5,0.12,0.03,≤0.03,>4,0.5,0.06,0.5,1,0.25,1,2,0.5,2
Africa,South Africa,North West,M. tuberculosis,Rif-S,KF00065920,21/01/2016,CTB,0.25,0.12,0.06,0.06,0.12,1,0.25,0.5,1,0.25,4,8,1,2
Africa,South Africa,Northern Cape,M. tuberculosis,MDR,KG00082202,26/01/2016,CTB,≤0.12,0.25,0.03,>16,>4,0.5,≤0.015,0.25,0.5,≤0.06,1,1,0.5,1
Africa,South Africa,Limpopo,M. tuberculosis,Rif-S,NC00179466,04/02/2016,CTB,0.5,0.25,0.03,0.06,0.25,1,0.03,0.5,1,0.25,2,2,1,1
Africa,South Africa,Limpopo,M. tuberculosis,MDR,ND00124877,26/01/2016,CTB,0.5,0.5,0.12,16,>4,2,0.06,0.5,2,0.25,2,4,1,>16
Africa,South Africa,Limpopo,M. tuberculosis,Rif-R,NE00095715,28/01/2016,CTB,0.5,0.5,0.06,0.12,>4,1,0.03,0.25,0.5,≤0.06,2,2,1,1
Africa,South Africa,Limpopo,M. tuberculosis,Rif-R,NF00130189,15/02/2016,CTB,0.5,0.25,0.06,≤0.03,>4,0.5,0.06,0.25,0.5,0.12,2,4,1,4
Africa,South Africa,Limpopo,M. tuberculosis,MDR,OB00111392,26/01/2016,CTB,0.5,0.25,0.06,8,>4,0.5,0.12,0.25,0.5,≤0.06,≤0.12,0.25,1,1
Africa,South Africa,Limpopo,M. tuberculosis,MDR,OB00115404,23/02/2016,CTB,0.5,0.25,0.015,8,>4,0.5,0.03,0.25,0.5,0.12,1,2,1,8
Africa,South Africa,Limpopo,M. tuberculosis,Rif-R,OB00122369,26/01/2016,CTB,0.25,0.12,≤0.008,0.25,>4,0.5,0.06,0.25,0.5,0.12,1,2,0.5,4
Africa,South Africa,Limpopo,M. tuberculosis,Rif-R,OC00061697,20/01/2016,CTB,0.5,0.25,0.06,0.12,>4,2,0.5,0.5,1,0.5,4,4,2,2
Africa,South Africa,Limpopo,M. tuberculosis,Rif-S,OC00091135,05/02/2016,CTB,0.5,0.25,0.03,0.12,≤0.06,1,0.06,0.5,1,0.25,4,4,1,1
Africa,South Africa,Limpopo,M. tuberculosis,Rif-R,OI00115044,08/02/2016,CTB,0.5,0.12,0.06,≤0.03,>4,2,0.06,0.5,1,0.12,2,4,1,1
Africa,South Africa,Limpopo,M. tuberculosis,Rif-R,OK00054059,28/01/2016,CTB,0.5,0.25,0.06,≤0.03,4,2,0.06,0.25,0.5,0.12,4,8,1,0.5
Africa,South Africa,Limpopo,M. tuberculosis,Rif-S,ON00035801,16/03/2016,CTB,0.5,0.5,0.03,0.12,0.5,1,0.5,0.5,2,0.25,4,8,1,4
Africa,South Africa,Limpopo,M. tuberculosis,Rif-R,OO00095615,29/01/2016,CTB,0.5,0.25,0.03,0.12,>4,1,0.03,0.25,0.5,0.12,2,2,1,2
Africa,South Africa,Limpopo,M. tuberculosis,Rif-S,OS00120406,26/01/2016,CTB,0.5,0.25,0.015,≤0.03,≤0.06,1,0.06,0.25,0.5,≤0.06,4,1,1,2
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PA00070896,21/01/2016,CTB,0.5,0.5,0.06,4,>4,0.5,0.06,0.5,1,0.25,2,2,0.5,16
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-R,PA00082962,26/01/2016,CTB,≤0.12,0.25,0.06,0.12,>4,0.5,0.06,0.25,0.5,0.12,2,2,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-R,PD00160471,25/01/2016,CTB,0.5,0.12,0.03,0.06,1,1,0.06,≤0.12,≤0.12,0.12,2,4,2,1
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PE00190349,25/01/2016,CTB,0.5,0.03,0.12,>16,>4,1,0.25,0.5,1,0.5,4,4,2,16
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PE00291237,20/01/2016,CTB,0.5,0.25,0.06,2,>4,0.5,0.12,1,2,0.25,2,2,0.5,16
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-R,PE00318284,16/03/2016,CTB,0.5,0.25,0.06,0.06,>4,1,0.25,0.5,1,0.25,2,4,1,≤0.25
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PF00076589,25/01/2016,CTB,0.25,0.25,0.03,16,>4,2,0.06,1,0.5,0.25,4,2,2,2
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PH00104960,27/01/2016,CTB,0.25,0.25,0.06,>16,>4,1,0.06,0.5,1,0.25,2,2,1,16
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-R,PI00148593,28/01/2016,CTB,≤0.12,0.25,0.03,0.06,>4,0.5,0.12,0.5,1,0.25,2,2,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PI00170885,26/01/2016,CTB,0.5,0.25,0.03,2,>4,0.5,0.06,1,2,0.25,1,2,0.5,16
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PJ00162888,21/01/2016,CTB,0.5,0.5,0.06,16,>4,1,0.06,0.5,0.5,0.12,2,4,1,>16
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,PJ00172527,25/01/2016,CTB,0.5,0.5,0.06,0.06,0.12,1,0.12,0.25,0.5,0.25,2,2,1,1
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PK00524261,16/03/2016,CTB,0.5,0.12,0.06,4,>4,1,0.06,1,1,0.5,2,2,0.5,8
Africa,South Africa,Mpumalanga,M. tuberculosis,Pre-XDR,PK00537387,20/01/2016,CTB,0.5,0.25,0.06,4,>4,1,1,4,4,2,4,4,1,8
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PK00561581,21/01/2016,CTB,1,0.5,0.12,8,>4,2,0.12,1,2,0.5,1,2,2,16
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PK00599668,02/01/2016,CTB,1,0.12,0.03,8,>4,0.5,0.12,1,1,0.5,2,2,1,8
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PK00651442,26/01/2016,CTB,≤0.12,0.25,0.03,0.5,>4,1,0.06,0.25,0.5,≤0.06,2,2,1,4
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PK00685617,26/01/2016,CTB,0.5,0.25,0.03,2,>4,0.25,0.03,0.5,1,0.25,1,1,0.5,8
Africa,South Africa,Mpumalanga,M. tuberculosis,Rif-S,PK00709697,20/01/2016,CTB,0.25,0.12,0.015,≤0.03,≤0.06,1,0.03,0.5,0.5,≤0.06,2,2,2,1
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PL00048658,26/01/2016,CTB,0.5,0.5,0.03,8,>4,1,0.12,1,2,0.5,2,2,1,16
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PL00097805,26/01/2016,CTB,0.5,0.06,0.03,4,>4,0.5,0.03,0.5,1,0.25,1,2,0.5,1
Africa,South Africa,Mpumalanga,M. tuberculosis,MDR,PM00152727,20/01/2016,CTB,0.25,0.12,≤0.008,4,>4,4,0.06,0.5,2,0.5,8,4,1,4
