,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
at_risk,353,353,352,343,330,315,289,247,212,160,108,64,28
censored,0,1,1,3,5,6,14,10,17,16,17,19,28
