pid,Original_ID,SampleID,F2,Coll2014,Freschi2020,Lineage
T0088,S0088-01,MFS-734,0.014232167516839,2.2.1.1,2.2.1.1.1,2.0
T0088,S0088-04,MFS-735,0.0110954084854316,2.2.1.1,2.2.1.1.1,2.0
T0091,S0091-05,MFS-736,0.0072028811524609,4.1.1.1,4.1.i1.2.1,4.0
T0091,S0091-01,MFS-564,0.0083890941775691,4.1.1.1,4.1.i1.2.1,4.0
T0091,S0091-07,MFS-565,,,,
T0096,S0096-01,MFS-737,0.0110660815152342,3.1.1,3.1.1.i1,3.0
T0099,S0099-01,MFS-738,0.0114820777900177,2.2.1,2.2.1.1.1,2.0
T0099,S0099-01,MFS-567,,,,
T0099,S0099-06,MFS-568,,,,
T0102,S0102-01,MFS-739,0.0089558501501383,2.2.1,2.2.1.1.1.i2,2.0
T0102,S0102-05,MFS-740,0.0114981116240033,2.2.1,2.2.1.1.1.i2,2.0
T0102,S0102-01,MFS-569,,,,
T0102,S0102-05,MFS-570,,,,
T0113,S0113-01,MFS-741,0.0144793778557811,4.1.2.1,4.1.i1.1.1.1,4.0
T0114,S0114-04,MFS-742,0.1405634890003859,4.8,4.2.1.1.1.1.1.1.i1,4.0
T0114,S0114-01,MFS-364,0.0102877978903503,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0114,S0114-04,MFS-365,0.0096353565658896,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0132,S0132-01,MFS-743,0.0069409297953871,4.4.1.1,4.2.1.2.2.1.1,4.0
T0132,S0132-08,MFS-744,0.0068110373733845,4.4.1.1,4.2.1.2.2.1.1,4.0
T0134,S0134-01,MFS-745,0.0068382529809972,4.7,4,4.0
T0137,S0137-01,MFS-746,0.0201001242142507,4.1.2,4.1.i1.1.1.1,4.0
T0137,S0137-01,MFS-600,0.0184518297492883,4.1.2,4.1.i1.1.1.1,4.0
T0146,S0146-01,MFS-747,0.0082617159679027,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0146,S0146-06,MFS-748,0.0100646641635377,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0157,S0157-01,MFS-749,,,,
T0157,157-01,MFS-78,,,,
T0157,157-06,MFS-79,0.008147405364753,4.4.1.1,4.2.1.2.2.1.1,4.0
T0174,S0174-04,MFS-750,,,,
T0174,S0174-01,MFS-621,0.0071189502204749,4.4.1.1,4.2.1.2.2.1.1,4.0
T0175,S0175-01,MFS-751,0.0109311382545583,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0175,S0175-04,MFS-752,0.0129779024903542,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0177,S0177-01,MFS-753,0.0125655357684475,2.2.1.1,2.2.1.1.1,2.0
T0191,S0191-01,MFS-754,0.0089585208214022,4.1.1.1,4.1.i1.2.1,4.0
T0192,S0192-05,MFS-755,,,,
T0192,S0192-02,MFS-194,0.0100891768474908,4.1.1.1,4.1.i1.2.1,4.0
T0194,S0194-03,MFS-756,0.0121644510598983,2.2.1,2.2.1.1.1,2.0
T0203,S0203-04,MFS-757,0.0116301515297751,2.2.1,2.2.1.1.1.i2,2.0
T0203,S0203-01,MFS-278,0.0124114296299726,2.2.1,2.2.1.1.1.i2,2.0
T0217,S0217-01,MFS-758,0.0110562473164448,2.2.1.1,2.2.1.1.1,2.0
T0217,S0217-05,MFS-759,0.0114093681284487,2.2.1.1,2.2.1.1.1,2.0
T0222,S0222-07,MFS-760,0.0097350517174622,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0222,222-01,MFS-131,0.0101935783776604,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0283,S0283-06,MFS-761,0.0122687362809658,2.2.1.1,2.2.1.1.1,2.0
T0283,S0283-01,MFS-324,0.0109474302927886,2.2.1.1,2.2.1.1.1,2.0
T0286,S0286-01,MFS-762,0.0111220296587457,2.2.1.1,2.2.1.1.1,2.0
T0286,S0286-08,MFS-302,0.0128611849438394,2.2.1.1,2.2.1.1.1,2.0
T0295,S0295-01,MFS-763,0.0106924238810716,2.2.1.1,2.2.1.1.1,2.0
T0295,S0295-05,MFS-284,0.0123224773091297,2.2.1.1,2.2.1.1.1,2.0
T0298,S0298-01,MFS-764,0.0051249105695805,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0309,S0309-01,MFS-765,0.0114011763757956,2.2.1,2.2.1.1.1,2.0
T0344,S0344-02,MFS-766,0.0115882455833479,2.2.1.1,2.2.1.1.1,2.0
T0344,S0344-01,MFS-422,,,,
T0345,S0345-02,MFS-767,0.0086492918106308,4.1.1.1,4.1.i1.2.1,4.0
