sample_id,phenotypic_category,phenotype
139719,WHO,0
139856,WHO,0
140572,WHO,0
140799,WHO,0
141382,WHO,0
147230,ALL,0
147597,ALL,1
148218,ALL,0
150205,WHO,0
150504,WHO,0
150529,WHO,0
150568,WHO,1
150579,WHO,0
150855,WHO,0
151313,WHO,0
151371,WHO,0
151806,WHO,0
155682,WHO,1
164996,WHO,0
165406,WHO,0
165437,WHO,1
167946,WHO,0
168436,WHO,0
168566,WHO,0
168715,WHO,0
168928,WHO,0
169634,WHO,0
169665,WHO,0
169748,WHO,0
170203,WHO,0
171382,WHO,0
171476,WHO,0
171533,WHO,0
171665,WHO,0
177604,WHO,1
177975,WHO,0
178948,WHO,0
178982,WHO,0
179753,WHO,0
180369,WHO,1
181303,WHO,0
182105,WHO,0
705474,WHO,0
705554,WHO,0
705562,WHO,0
705576,WHO,0
713452,WHO,1
713459,WHO,0
725681,WHO,1
729304,WHO,0
729390,WHO,0
808752,WHO,1
810117,WHO,0
810481,WHO,0
812617,WHO,1
812654,WHO,0
828772,WHO,0
906,WHO,0
8570,ALL,1
9515,WHO,0
12174,WHO,0
12504,WHO,0
12666,WHO,1
13572,WHO,0
14172,WHO,0
14862,WHO,0
16320,WHO,0
16549,WHO,0
17715,WHO,0
19118,WHO,0
19443,WHO,0
19680,WHO,0
22237,ALL,0
46790,WHO,1
50057,WHO,1
52322,WHO,0
52525,WHO,1
52531,WHO,0
52821,WHO,0
53453,WHO,0
53655,WHO,0
53741,WHO,0
53815,WHO,0
53936,WHO,0
54211,WHO,0
54405,WHO,0
54579,WHO,0
54997,WHO,1
55736,WHO,0
55873,WHO,0
56007,WHO,0
56385,WHO,0
56394,WHO,0
56547,WHO,0
56767,WHO,0
56838,WHO,0
56910,WHO,0
57058,WHO,0
57311,WHO,0
57466,WHO,0
61749,WHO,1
62147,WHO,1
64859,WHO,0
65096,WHO,1
65462,WHO,0
65541,WHO,1
65625,WHO,0
76149,WHO,0
77930,WHO,0
79983,WHO,0
85434,WHO,1
96720,WHO,0
98148,WHO,0
101554,WHO,0
107272,WHO,0
135328,WHO,0
136709,WHO,1
136800,WHO,0
137015,WHO,0
137024,WHO,0
137760,WHO,1
137879,WHO,0
138166,WHO,0
139569,WHO,0
139700,WHO,0
140528,WHO,0
140625,WHO,0
140629,WHO,0
140678,WHO,0
147225,ALL,1
147238,ALL,1
147470,ALL,1
147531,ALL,1
147820,ALL,0
147930,ALL,1
147978,ALL,1
148180,ALL,0
150207,WHO,0
150240,WHO,0
150481,WHO,0
150516,WHO,0
150600,WHO,0
150719,WHO,0
150742,WHO,0
150839,WHO,0
151858,WHO,0
151869,WHO,0
155485,WHO,1
155550,WHO,1
164415,WHO,0
164804,WHO,1
165020,WHO,1
165722,WHO,0
165925,WHO,1
166123,WHO,1
166355,WHO,0
166576,WHO,1
168289,WHO,0
168523,WHO,0
169135,WHO,0
169187,WHO,0
169212,WHO,0
169909,WHO,0
169925,WHO,0
169990,WHO,0
170064,WHO,0
170103,WHO,0
170273,WHO,0
171380,WHO,0
171546,WHO,0
171574,WHO,0
171865,WHO,0
173400,WHO,0
173482,WHO,0
178379,WHO,0
178425,WHO,0
178526,WHO,0
178575,WHO,0
178648,WHO,0
179469,WHO,0
179693,WHO,0
180454,WHO,0
180531,WHO,1
181142,WHO,0
181309,WHO,0
181343,WHO,0
181478,WHO,0
182114,WHO,0
182321,WHO,0
182359,WHO,0
705450,WHO,1
739123,WHO,0
739173,WHO,1
808363,WHO,0
808389,WHO,0
808397,WHO,0
810020,WHO,0
810094,WHO,0
810260,WHO,0
810371,WHO,0
812547,WHO,1
820861,WHO,0
914,WHO,0
12473,WHO,0
16791,WHO,0
17355,WHO,0
18039,WHO,0
18955,WHO,0
19798,WHO,0
34285,WHO,1
45513,WHO,0
50372,WHO,0
52396,WHO,0
52407,WHO,0
52480,WHO,0
52524,WHO,0
52623,WHO,0
52800,WHO,0
52813,WHO,0
53416,WHO,1
54209,WHO,1
54307,WHO,0
54343,WHO,0
54365,WHO,0
55385,WHO,0
55599,WHO,0
55738,WHO,0
55778,WHO,0
55869,WHO,0
55900,WHO,0
55915,WHO,0
55965,WHO,0
56260,WHO,0
56384,WHO,0
56434,WHO,0
56531,WHO,0
56545,WHO,0
56558,WHO,0
56652,WHO,0
56661,WHO,0
57143,WHO,0
57156,WHO,0
57175,WHO,0
57177,WHO,0
57230,WHO,0
57315,WHO,0
57479,WHO,0
57532,WHO,0
57665,WHO,0
57729,WHO,0
58563,WHO,1
58618,WHO,1
62016,WHO,1
64918,WHO,0
64995,WHO,0
65024,WHO,1
65043,WHO,0
65086,WHO,0
65171,WHO,0
65480,WHO,0
65539,WHO,0
65545,WHO,1
78217,WHO,0
79927,WHO,0
88124,WHO,1
96810,WHO,0
97443,WHO,0
98200,WHO,0
107430,WHO,0
107583,WHO,1
124728,WHO,0
124804,WHO,1
124911,WHO,0
124961,WHO,0
126361,WHO,0
135492,WHO,0
135776,WHO,0
136395,WHO,1
136711,WHO,0
137018,WHO,0
137039,WHO,0
137162,WHO,0
137198,WHO,0
137304,WHO,1
137414,WHO,0
138646,WHO,1
139550,WHO,0
139698,WHO,0
139764,WHO,0
139790,WHO,0
147201,ALL,0
147427,ALL,1
147505,ALL,0
147908,ALL,1
147964,ALL,1
148021,ALL,0
148029,ALL,1
148191,ALL,0
148268,ALL,1
150067,WHO,0
150147,WHO,0
150492,WHO,0
150684,WHO,0
150708,WHO,0
150784,WHO,0
150879,WHO,0
151099,WHO,0
151118,WHO,0
151140,WHO,0
151307,WHO,0
155476,WHO,1
155603,WHO,1
166579,WHO,1
166633,WHO,0
167287,WHO,0
168128,WHO,1
168686,WHO,0
168995,WHO,0
169720,WHO,0
169995,WHO,0
170169,WHO,0
171406,WHO,0
171416,WHO,0
171475,WHO,0
171800,WHO,0
171883,WHO,0
171919,WHO,0
173408,WHO,0
173422,WHO,0
173446,WHO,0
173576,WHO,0
174396,WHO,0
174870,ALL,0
177608,WHO,0
177940,WHO,1
178408,WHO,0
178451,WHO,0
179709,WHO,0
180433,WHO,0
181162,WHO,0
181173,WHO,0
181487,WHO,0
182941,WHO,0
182945,WHO,0
705359,WHO,0
705382,WHO,0
705392,WHO,0
708253,WHO,1
810017,WHO,0
810171,WHO,0
810245,WHO,0
810292,WHO,0
810349,WHO,0
810551,WHO,0
812701,WHO,1
6915,ALL,0
8604,ALL,0
13277,WHO,0
13827,WHO,0
16561,WHO,0
17666,WHO,0
18728,WHO,0
19300,WHO,0
19750,WHO,0
34791,WHO,1
45454,WHO,0
47502,WHO,0
52431,WHO,0
52468,WHO,0
52808,WHO,0
53474,WHO,1
53631,WHO,1
53954,WHO,0
53971,WHO,0
54346,WHO,1
54373,WHO,0
54609,WHO,1
54820,WHO,0
54823,WHO,1
54962,WHO,0
55114,WHO,0
55250,WHO,0
55535,WHO,0
56317,WHO,0
56530,WHO,0
56534,WHO,0
56603,WHO,0
56608,WHO,0
56753,WHO,0
56813,WHO,0
56820,WHO,0
57035,WHO,0
57067,WHO,0
57366,WHO,0
57437,WHO,0
57486,WHO,0
57553,WHO,0
58557,WHO,1
62099,WHO,0
64643,WHO,0
64680,WHO,0
64839,WHO,0
65219,WHO,0
65653,WHO,0
78321,WHO,0
79908,WHO,0
96679,WHO,0
96774,WHO,0
97301,WHO,0
97326,WHO,0
107277,WHO,0
107563,WHO,0
117581,WHO,0
122155,WHO,0
124807,WHO,0
135342,WHO,0
136639,WHO,0
137008,WHO,0
137230,WHO,1
137952,WHO,0
139663,WHO,0
139779,WHO,0
140771,WHO,0
147487,ALL,1
147758,ALL,0
147883,ALL,1
148119,ALL,0
148337,ALL,0
150423,WHO,0
150840,WHO,0
151057,WHO,0
151320,WHO,0
151874,WHO,0
154923,ALL,1
154996,ALL,1
155569,WHO,0
164448,WHO,1
165727,WHO,0
165810,WHO,0
165917,WHO,1
166335,WHO,1
167149,WHO,1
167280,WHO,1
167382,WHO,0
167413,WHO,0
168532,WHO,0
169071,WHO,0
169537,WHO,0
169615,WHO,0
170126,WHO,0
171311,WHO,0
171418,WHO,0
171947,WHO,0
174375,WHO,0
177965,WHO,1
178044,WHO,0
178143,WHO,0
178454,WHO,0
179704,WHO,0
179746,WHO,0
179983,WHO,0
180425,WHO,0
181260,WHO,0
181264,WHO,0
181633,WHO,0
699982,WHO,0
700055,WHO,0
705351,WHO,1
705520,WHO,0
739205,WHO,1
810301,WHO,0
810324,WHO,0
810335,WHO,0
810402,WHO,0
810524,WHO,1
812577,WHO,1
812660,WHO,1
812684,WHO,1
843084,WHO,0
888267,WHO,1
888285,WHO,1
892512,WHO,1
828,WHO,1
6877,ALL,0
9494,WHO,0
13517,WHO,0
15769,WHO,0
16181,WHO,0
16579,WHO,0
17654,WHO,1
18325,WHO,0
34336,WHO,0
34595,WHO,0
45425,WHO,0
45547,WHO,0
52327,WHO,0
52346,WHO,0
52393,WHO,0
52413,WHO,1
52417,WHO,0
53873,WHO,0
53902,WHO,0
54116,WHO,0
54708,WHO,1
54838,WHO,0
54890,WHO,0
55521,WHO,0
56025,WHO,0
56130,WHO,0
56183,WHO,0
56199,WHO,0
56364,WHO,0
56573,WHO,0
56724,WHO,0
56998,WHO,1
57332,WHO,0
57462,WHO,0
57718,WHO,1
58608,WHO,0
61886,WHO,0
64487,WHO,0
64695,WHO,0
64740,WHO,0
64793,WHO,0
64840,WHO,0
64982,WHO,0
65003,WHO,0
65260,WHO,0
65287,WHO,0
65381,WHO,0
65566,WHO,0
65715,WHO,0
65733,WHO,0
78369,WHO,1
79920,WHO,0
97200,WHO,0
97434,WHO,0
98062,WHO,0
101695,WHO,0
117681,WHO,1
117750,WHO,1
135178,WHO,0
135536,WHO,0
135541,WHO,0
136257,WHO,1
136544,WHO,1
136611,WHO,0
136771,WHO,0
137332,WHO,0
137536,WHO,0
137636,WHO,0
138515,WHO,0
139753,WHO,0
139799,WHO,0
139872,WHO,0
147517,ALL,0
147847,ALL,0
147868,ALL,0
147984,ALL,0
148079,ALL,0
148155,ALL,1
148222,ALL,0
148401,ALL,0
150066,WHO,1
150530,WHO,0
150615,WHO,0
151123,WHO,0
155606,WHO,1
155668,WHO,1
164400,WHO,1
165385,WHO,0
165508,WHO,0
165918,WHO,0
166610,WHO,1
167079,WHO,0
167822,WHO,0
169057,WHO,0
169104,WHO,0
169630,WHO,0
169643,WHO,0
169869,WHO,0
169931,WHO,0
170145,WHO,0
170441,WHO,1
171316,WHO,0
171368,WHO,0
171383,WHO,0
171507,WHO,1
171658,WHO,0
171879,WHO,0
171889,WHO,0
173263,WHO,0
173369,WHO,0
173427,WHO,0
177971,WHO,1
178414,WHO,0
178994,WHO,0
179507,WHO,1
179701,WHO,0
179714,WHO,0
181545,WHO,0
181638,WHO,0
182090,WHO,0
182426,WHO,0
375053,ALL,1
699961,WHO,0
699979,WHO,0
705522,WHO,1
708229,WHO,0
725675,WHO,0
729306,WHO,0
729309,WHO,0
729464,WHO,1
810133,WHO,0
810201,WHO,0
810332,WHO,0
810367,WHO,0
810467,WHO,1
812641,WHO,1
843144,WHO,0
888323,WHO,0
6876,ALL,0
6935,ALL,0
13280,WHO,0
13352,WHO,1
14202,WHO,0
16613,WHO,0
17082,WHO,0
17892,WHO,0
21267,ALL,1
22319,ALL,1
45459,WHO,1
45469,WHO,1
45571,WHO,1
50365,WHO,1
50423,WHO,1
52476,WHO,0
52637,WHO,0
52644,WHO,0
52689,WHO,0
53352,WHO,0
53409,WHO,0
53630,WHO,0
54012,WHO,1
54195,WHO,0
54196,WHO,0
54487,WHO,0
54950,WHO,0
55110,WHO,0
55142,WHO,0
55242,WHO,0
55794,WHO,0
56049,WHO,0
56054,WHO,0
56093,WHO,0
56186,WHO,0
56526,WHO,0
56895,WHO,0
57121,WHO,0
57139,WHO,0
57265,WHO,0
57321,WHO,0
57489,WHO,0
57515,WHO,0
57656,WHO,0
57775,WHO,1
58631,WHO,1
61807,WHO,1
62034,WHO,0
64645,WHO,0
65528,WHO,0
65584,WHO,0
77952,WHO,0
78050,WHO,1
78075,WHO,0
78090,WHO,0
78110,WHO,0
78185,WHO,0
78360,WHO,0
79812,WHO,0
97031,WHO,0
97966,WHO,0
98022,WHO,0
101705,WHO,0
117575,WHO,0
117688,WHO,0
119756,WHO,0
120046,WHO,1
124820,WHO,0
124956,WHO,0
126383,WHO,0
135165,WHO,0
135185,WHO,0
135456,WHO,0
135608,WHO,0
135716,WHO,0
135737,WHO,0
135750,WHO,1
136146,WHO,0
136160,WHO,0
136787,WHO,0
136975,WHO,0
137902,WHO,0
139512,WHO,0
139701,WHO,0
140590,WHO,0
147924,ALL,0
147992,ALL,0
148014,ALL,0
148054,ALL,0
148107,ALL,1
148114,ALL,1
148272,ALL,0
148285,ALL,0
148306,ALL,1
150114,WHO,0
150821,WHO,0
151097,WHO,0
151155,WHO,0
151222,WHO,0
151288,WHO,0
155574,WHO,0
155633,WHO,0
164389,WHO,0
164416,WHO,0
164455,WHO,0
165429,WHO,0
166933,WHO,0
166940,WHO,1
167220,WHO,1
168064,WHO,0
168469,WHO,0
169079,WHO,0
169614,WHO,0
169745,WHO,1
170039,WHO,0
170091,WHO,0
170112,WHO,0
171728,WHO,0
171731,WHO,0
171875,WHO,0
173378,WHO,0
176294,WHO,0
178581,WHO,0
179856,WHO,1
179977,WHO,0
181261,WHO,0
181530,WHO,0
182207,WHO,0
182290,WHO,0
182324,WHO,0
182507,WHO,0
182527,WHO,0
183213,WHO,0
375023,ALL,0
705398,WHO,0
790246,WHO,1
808741,WHO,1
808782,WHO,1
808817,WHO,1
810513,WHO,1
811273,WHO,0
812657,WHO,1
820963,WHO,0
843088,WHO,0
843115,WHO,0
892547,WHO,0
887,WHO,1
893,WHO,0
908,WHO,1
6879,ALL,0
6924,ALL,0
6939,ALL,0
14168,WHO,0
15484,WHO,0
17277,WHO,0
18091,WHO,1
34160,WHO,1
34422,WHO,1
42129,WHO,1
50023,WHO,1
50036,WHO,1
52367,WHO,0
52555,WHO,0
52614,WHO,0
52621,WHO,0
53237,WHO,1
53618,WHO,0
53698,WHO,1
53750,WHO,0
53766,WHO,0
53788,WHO,0
53816,WHO,0
54294,WHO,0
54342,WHO,0
54659,WHO,0
55972,WHO,0
56004,WHO,0
56027,WHO,0
56040,WHO,0
56065,WHO,0
56085,WHO,0
56196,WHO,0
56367,WHO,0
56455,WHO,0
56488,WHO,0
56616,WHO,0
56713,WHO,0
57137,WHO,0
57522,WHO,0
57605,WHO,1
57646,WHO,0
62108,WHO,1
62195,WHO,1
64813,WHO,0
65215,WHO,0
65240,WHO,0
65320,WHO,1
65430,WHO,0
65449,WHO,0
65517,WHO,0
65656,WHO,0
65770,WHO,0
78000,WHO,0
78025,WHO,0
78081,WHO,0
78116,WHO,0
78172,WHO,0
78381,WHO,1
96596,WHO,0
96899,WHO,0
97332,WHO,0
98238,WHO,0
107233,WHO,1
135249,WHO,0
135323,WHO,0
135653,WHO,0
136215,WHO,0
136236,WHO,0
136845,WHO,0
136869,WHO,0
137618,WHO,1
137804,WHO,0
137827,WHO,0
137957,WHO,1
139688,WHO,1
139810,WHO,0
140578,WHO,0
140640,WHO,0
147206,ALL,1
147352,ALL,0
147946,ALL,0
147948,ALL,0
148033,ALL,1
148241,ALL,1
148300,ALL,1
148320,ALL,1
150199,WHO,0
150406,WHO,0
150508,WHO,0
150902,WHO,0
151185,WHO,0
151302,WHO,0
151357,WHO,0
151668,WHO,0
153703,ALL,0
155556,WHO,1
155587,WHO,0
165970,WHO,1
166193,WHO,0
166799,WHO,0
166970,WHO,1
167551,WHO,0
168093,WHO,0
168367,WHO,0
168524,WHO,0
169184,WHO,0
169190,WHO,0
169469,WHO,0
169540,WHO,0
169582,WHO,0
169625,WHO,0
169769,WHO,0
169846,WHO,0
170096,WHO,0
171480,WHO,1
171596,WHO,0
171608,WHO,0
171682,WHO,0
171945,WHO,0
173414,WHO,0
177999,WHO,0
178463,WHO,0
178517,WHO,0
178987,WHO,0
179508,WHO,0
179654,WHO,0
179744,WHO,1
179766,WHO,0
179880,WHO,0
179931,WHO,0
179969,WHO,0
180390,WHO,0
180465,WHO,0
181326,WHO,0
181373,WHO,0
181407,WHO,0
181482,WHO,0
181546,WHO,0
183201,WHO,0
699910,WHO,0
705577,WHO,1
708219,WHO,0
739193,WHO,0
739204,WHO,0
739255,WHO,1
790044,WHO,0
810206,WHO,0
810358,WHO,0
820902,WHO,0
820962,WHO,0
9316,WHO,0
12629,WHO,0
13429,WHO,0
13690,WHO,0
15022,WHO,0
15328,WHO,0
16605,WHO,0
16672,WHO,0
17357,WHO,0
34830,WHO,1
45550,WHO,1
50402,WHO,1
52448,WHO,0
52505,WHO,0
53695,WHO,0
53817,WHO,0
54038,WHO,0
54384,WHO,0
54484,WHO,0
54582,WHO,0
54667,WHO,0
54769,WHO,1
54770,WHO,0
54919,WHO,0
54976,WHO,0
55179,WHO,0
55228,WHO,0
55247,WHO,0
55333,WHO,0
55750,WHO,0
55895,WHO,0
56283,WHO,0
56414,WHO,0
56484,WHO,0
56505,WHO,0
56575,WHO,0
56825,WHO,0
57176,WHO,0
57349,WHO,0
58565,WHO,0
61949,WHO,1
62017,WHO,0
62083,WHO,0
62089,WHO,1
64752,WHO,0
64831,WHO,0
65061,WHO,1
65235,WHO,0
65314,WHO,0
65458,WHO,0
65544,WHO,0
65577,WHO,0
76141,WHO,1
96611,WHO,0
97083,WHO,0
97925,WHO,0
120079,WHO,1
123506,WHO,0
126377,WHO,0
126419,WHO,0
135219,WHO,0
135725,WHO,1
137105,WHO,0
137448,WHO,0
138109,WHO,0
139781,WHO,0
140549,WHO,0
140679,WHO,0
140749,WHO,0
140754,WHO,1
141227,WHO,1
147438,ALL,0
148323,ALL,0
150263,WHO,0
150353,WHO,1
150646,WHO,0
150650,WHO,0
150715,WHO,0
150739,WHO,0
150943,WHO,0
151107,WHO,0
151212,WHO,0
151332,WHO,0
151338,WHO,0
151368,WHO,0
151377,WHO,0
151734,WHO,0
155660,WHO,0
163184,WHO,0
164456,WHO,0
164635,WHO,0
164970,WHO,0
165389,WHO,0
165979,WHO,0
165984,WHO,0
166360,WHO,1
167145,WHO,0
167309,WHO,1
169183,WHO,0
169762,WHO,0
169979,WHO,0
170199,WHO,0
170223,WHO,0
171264,WHO,0
171510,WHO,0
171521,WHO,0
171694,WHO,0
171901,WHO,0
174394,WHO,0
177601,WHO,0
177932,WHO,1
177962,WHO,1
179024,WHO,0
179063,WHO,1
179073,WHO,0
181421,WHO,0
181501,WHO,0
181541,WHO,0
181635,WHO,0
182212,WHO,0
374904,ALL,0
699936,WHO,0
699963,WHO,0
707414,WHO,0
729326,WHO,0
729427,WHO,0
812595,WHO,0
812636,WHO,1
812665,WHO,1
812702,WHO,1
820879,WHO,0
888291,WHO,0
892514,WHO,0
6864,ALL,1
9293,WHO,0
9491,WHO,1
12324,WHO,0
13722,WHO,0
14173,WHO,0
14229,WHO,0
14556,WHO,0
15243,WHO,0
15653,WHO,0
17090,WHO,0
17322,WHO,0
17888,WHO,0
18078,WHO,0
18936,WHO,0
21994,ALL,0
34802,WHO,1
45538,WHO,0
45545,WHO,1
50353,WHO,1
50404,WHO,1
52339,WHO,0
52371,WHO,0
52453,WHO,0
52641,WHO,0
52694,WHO,0
52733,WHO,0
53238,WHO,0
53400,WHO,1
53478,WHO,1
53529,WHO,1
53718,WHO,0
53861,WHO,0
55191,WHO,0
55362,WHO,0
55370,WHO,0
55800,WHO,0
55938,WHO,0
55994,WHO,0
56188,WHO,0
56198,WHO,0
56253,WHO,0
56359,WHO,0
56879,WHO,0
57101,WHO,0
57387,WHO,0
64914,WHO,0
65119,WHO,0
65263,WHO,0
65354,WHO,0
65500,WHO,0
78375,WHO,0
79790,WHO,0
88121,WHO,1
97825,WHO,0
98112,WHO,0
107479,WHO,1
107491,WHO,1
135047,WHO,0
135186,WHO,0
136813,WHO,0
136865,WHO,0
137216,WHO,0
137279,WHO,1
137516,WHO,0
137752,WHO,0
138493,WHO,0
139712,WHO,0
139747,WHO,1
147460,ALL,0
147753,ALL,0
147832,ALL,0
148171,ALL,1
148209,ALL,1
148242,ALL,1
150215,WHO,0
150502,WHO,0
150549,WHO,0
150550,WHO,0
150831,WHO,0
150919,WHO,0
151256,WHO,0
151610,WHO,0
151672,WHO,0
154974,ALL,1
164436,WHO,0
164460,WHO,0
164585,WHO,0
165927,WHO,1
166023,WHO,1
167942,WHO,0
168119,WHO,0
169024,WHO,0
169922,WHO,0
169963,WHO,0
170184,WHO,0
170251,WHO,0
171429,WHO,0
171435,WHO,0
171718,WHO,0
171902,WHO,0
173377,WHO,0
173556,WHO,0
173566,WHO,1
177945,WHO,1
178091,WHO,0
178952,WHO,0
179604,WHO,1
179893,WHO,1
180555,WHO,0
181246,WHO,0
181587,WHO,0
181650,WHO,0
373623,WHO,0
705528,WHO,0
708212,WHO,1
708237,WHO,0
713458,WHO,0
808763,WHO,1
808813,WHO,1
810139,WHO,0
810212,WHO,0
946365,WHO,0
826,WHO,1
855,WHO,0
7023,ALL,1
8610,ALL,1
9493,WHO,0
12296,WHO,0
12350,WHO,0
12519,WHO,1
14538,WHO,0
16861,WHO,0
17259,WHO,0
18317,WHO,0
19236,WHO,0
19457,WHO,0
22311,ALL,0
34228,WHO,1
45588,WHO,1
50022,WHO,0
52668,WHO,0
53634,WHO,0
53765,WHO,0
54010,WHO,0
