Drug,sample_size_cryptic,EA_cryptic,EA,sample_size_CNN,diff,Num_within_doubling_cryptic,Num_within_doubling_CNN,pval_xgboost_higher,pval_CNN_higher
BDQ,2130,0.933,0.9374275782155272,1726,-0.004427578215527195,1987,1618,0.7160772370894277,0.28392276291057233
EMB,1907,0.95,0.9438943894389439,1515,0.006105610561056074,1811,1430,0.22711445165667027,0.7728855483433297
ETO,2210,0.913,0.9068710959681999,1761,0.006128904031800109,2017,1597,0.2628352707840514,0.7371647292159487
INH,2380,0.942,0.9250936329588015,1869,0.01690636704119841,2241,1729,0.015550860049331934,0.9844491399506681
LFX,1936,0.949,0.9289864428663654,1549,0.020013557133634508,1837,1439,0.007028926942105346,0.9929710730578947
MXF,1699,0.909,0.8813936249073387,1349,0.027606375092661284,1544,1189,0.006829858423866319,0.9931701415761337
RIF,2246,0.929,0.9593023255813954,1720,-0.03030232558139534,2086,1650,0.9999772886017203,2.2711398279749302e-05
