covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,exclude_resistance,MIC_type,include_drugs,num_pids,significant
INH_AUC,0.020997521842440282,0.0001295554739678632,3.3152222534836435e-05,0.0001638127705871942,0.012798936306865278,0.26442183853866846,1.6405677268022132,663.1126808472575,0.20912470069661948,280.77391250768846,197.25329626006496,0.10136139595985748,1.9635478904971702,-0.004133802543512678,0.04612884622839324,0.979221391231346,0.9549189165630819,1.0041423584907168,0,predicted,RIF,362,
PZA_AUC,-0.0038422256461515844,2.98375162570479e-06,8.672749441634606e-07,3.879935734673699e-06,0.0019697552474035192,0.3003547953684725,-1.950610691971151,543.5663766395637,0.23097911157651638,273.0152324051437,181.73554119040594,0.05161688463614917,1.9643378246968741,-0.007711490384021467,2.7039091718297856e-05,1.0038496164578001,0.9999729612738346,1.007741300503542,0,predicted,RIF,362,
RIF_AUC,0.020359449344086792,8.135240498011012e-05,2.0125678980616707e-05,0.0001021489399267474,0.010106875873718219,0.2556351585638042,2.014415690711036,699.654715464545,0.20359031588140594,282.7387113568362,201.3648170318498,0.04434809238270018,1.9633603892727807,0.0005160095943317136,0.04020288909384187,0.9798464048516858,0.9605945252272641,0.9994841235157226,0,predicted,RIF,362,1.0
RIF_pred_MIC,-0.43168062407188673,0.5656387720917473,0.2799447564273787,0.8549150204000386,0.9246161475985798,0.5114151691521075,-0.4668754976787405,253.29017270225796,0.33836842423581576,234.89023658921477,121.87172500040687,0.6409902939566423,1.9693739607787435,-2.2525955888680853,1.3892343407243117,1.5398432477536028,0.24926608447586285,9.512394085373318,0,predicted,RIF,362,
screen_years,-0.022547199287869735,2.909494588853051e-05,1.4351643478078796e-05,4.3924977482545265e-05,0.006627592133086138,0.5097116059549329,-3.4020197433861448,254.41161827533915,0.33762183714056215,235.15528745114807,122.20237219194928,0.0007767162724305383,1.9693322871798669,-0.03559913046181555,-0.009495268113923918,1.0228033086129744,1.0095404911939612,1.0362403660227801,0,predicted,RIF,362,1.0
INH_AUC,0.02113615952777775,0.00012911639627338626,3.356070331170838e-05,0.00016379578969548492,0.012798272918463839,0.2685901591357135,1.6514852951201713,646.9347518515516,0.21172335068301582,279.85134845168466,195.3477319164327,0.09912480189310388,1.9636376783956726,-0.0039950113933087915,0.04626733044886429,0.9790856436543153,0.9547866845175457,1.0040030020887547,0,predicted,INH,362,
INH_pred_MIC,-0.23446981419656687,0.05270054046126181,0.005286329690427916,0.05816308114137066,0.2411702327016555,0.10365246034097424,-0.9722170583407882,3287.7852227382837,0.09391766345444535,321.6743308459476,293.00677727205124,0.33101409543357274,1.9606857865393466,-0.7073288615910895,0.2383892331979558,1.264238309810678,0.7878959561392649,2.0285654362597745,0,predicted,INH,362,
PZA_AUC,-0.003713461778017402,2.969843408475625e-06,8.759592767673272e-07,3.875001327801863e-06,0.0019685023057649342,0.30478304571312126,-1.8864401464718628,531.4874307879371,0.2335890604299996,272.08865706300963,179.96018482294951,0.059780552183808615,1.9644374503573367,-0.007580461428576808,0.00015353787254200352,1.0037203652197833,0.999846473913794,1.007609265863948,0,predicted,INH,362,
RIF_AUC,0.019711996309199734,8.085429841457642e-05,2.0069906854161294e-05,0.00010159320216387642,0.010079345324170435,0.2564972321318318,1.9556822070506945,695.9142098186495,0.20413672674522856,282.5447263933314,200.95568932883964,0.05090236533255203,1.9633786760249585,-7.757536856837013e-05,0.03950156798696784,0.9804810147981293,0.9612684467330195,1.000077578377615,0,predicted,INH,362,
screen_years,-0.022042328433577528,2.903790795748356e-05,1.4078378150752009e-05,4.358556537992731e-05,0.006601936487117042,0.5009884818060582,-3.338767114253632,260.3138256827818,0.33377236926111903,236.5219127061484,123.92410448168812,0.0009645462980500852,1.9691189024858788,-0.035042326363370915,-0.009042330503784139,1.0222870553643573,1.0090833358757745,1.0356635437434123,0,predicted,INH,362,1.0
EMB_pred_MIC,-0.013332397113152272,0.35981155649951,0.10292289190478848,0.46616521146779144,0.6827629247899972,0.29558154274688025,-0.01952712519833004,557.1509551524863,0.22814584261534857,274.0210901075077,183.68172143899196,0.984427589246619,1.964230952765852,-1.3544364673866083,1.3277716731603038,1.0134216698180791,0.265067260190716,3.87457689085374,0,predicted,EMB,362,
INH_AUC,0.021158307977025125,0.00013076801263817896,3.201000435376368e-05,0.00016384501713706808,0.012800195980416396,0.2529441553142637,1.6529675021692,711.560988078765,0.20187983178773058,283.3459617181592,202.65003931217345,0.09877858495051643,1.9633034634486182,-0.003972361124147467,0.04628897707819772,0.9790639586657732,0.9547660168277872,1.0039802614080608,0,predicted,EMB,362,
PZA_AUC,-0.0038426315562414587,2.986725115166194e-06,8.765553764704209e-07,3.892499004185629e-06,0.0019729417133269875,0.30326657261494716,-1.947666031026126,535.5689914653325,0.23269726929806547,272.4052577780318,180.56492433348745,0.05197707271926839,1.9644032823382809,-0.007718284733763105,3.3021621280187284e-05,1.0038500239305708,0.9999669789239276,1.0077481474736472,0,predicted,EMB,362,
RIF_AUC,0.020386494299975657,8.124183006902787e-05,2.0659318316651775e-05,0.00010258979232956803,0.010128661921970148,0.262770573267511,2.012752963523758,669.7202744147758,0.20809051052525954,281.1410672550241,198.01611913325908,0.04454037982319877,1.963512468091702,0.0004987403311016089,0.040274248268849705,0.97981990530723,0.9605259804401058,0.9995013840191838,0,predicted,EMB,362,1.0
screen_years,-0.022389382415438107,2.9410503252909934e-05,1.4437537901613382e-05,4.432929241791043e-05,0.0066580246633600295,0.5072605877128064,-3.3627665182212034,256.0427265670606,0.3365447168512177,235.5376831058702,122.6812733075359,0.0008897031128948429,1.9692723288483924,-0.03550084614978315,-0.009277918681093067,1.0226419057300806,1.0093210919847908,1.036138524856082,0,predicted,EMB,362,1.0
INH_AUC,0.020836055777799577,0.00013018953317202916,3.400524304108073e-05,0.00016532828431447925,0.012858004678583659,0.26990457901111475,1.6204734948109165,641.9772988669007,0.21253925962003511,279.56168718056057,194.75275546682786,0.10562165735269925,1.9636660998839173,-0.004412772121683957,0.04608488367728311,0.9793795150212697,0.9549608981575596,1.0044225227377228,0,predicted,PZA,362,
PZA_AUC,-0.0037772005899357345,3.0035599044477723e-06,8.833463439268942e-07,3.916351126505563e-06,0.0019789772930747748,0.3039031186646549,-1.9086629256200438,533.8488755998634,0.23307185504386724,272.2722735951764,180.3106732293852,0.056841566520543056,1.964417618127528,-0.007664738450326146,0.00011033727045467717,1.003784343202279,0.9998896688164781,1.0076941877503935,0,predicted,PZA,362,
PZA_pred_MIC,0.20339324317297966,0.21377777381718716,0.07972775341099456,0.2961631190085482,0.5442087090524629,0.3853784409871027,0.37374124998314223,374.7658562260843,0.27817557252624403,256.25970216030794,152.192546593403,0.7088081721140937,1.9663141383335336,-0.8666920356411185,1.273478521987078,0.8159573086863576,0.27985643988650066,2.3790280826437367,0,predicted,PZA,362,
