Drug,Model,Num_Loci,Binned_MAE,Binned_MSE,MAE,MSE,Within_doubling,Spearman,Spearman_pval,Sensitivity,Specificity,Precision,Accuracy,Balanced_Acc,F1,CV,Addl_Data,Binned_MAE_exp,Binned_MSE_exp,Without_doubling
Bedaquiline,CNN,4,0.3741923492787194,0.544848426874312,0.9365399155229798,1.4003986540140188,0.9216867469879518,0.3687377444772836,6.585253845039056e-60,0.3461538461538461,0.9927777777777778,0.4090909090909091,0.9835706462212488,0.6694658119658119,0.375,0,– Lineage,1.2961137600441062,1.4588670639896966,0.07831325301204817
Bedaquiline,CNN,4,0.3786694151828511,0.558438620962309,0.9418309323149106,1.4224712152044217,0.9194961664841182,0.3593918638969923,8.646912237832088e-57,0.0384615384615384,0.9983333333333332,0.25,0.9846659364731654,0.5183974358974359,0.0666666666666666,1,– Lineage,1.3001421927159036,1.472674529705617,0.08050383351588175
Bedaquiline,CNN,4,0.3802388470710221,0.556847950145609,0.9366123904279652,1.4155983984096665,0.91894852135816,0.3503247831287281,7.309920695848383e-54,0.0769230769230769,0.995,0.1818181818181818,0.9819277108433736,0.5359615384615385,0.1081081081081081,2,– Lineage,1.3015573184555336,1.4710516992398337,0.08105147864184004
Bedaquiline,CNN,4,0.3745967419355987,0.5464814319765431,0.9379916604727097,1.403381130337728,0.9222343921139102,0.3658024998199616,6.443630163915e-59,0.1153846153846153,0.9955555555555556,0.2727272727272727,0.9830230010952904,0.5554700854700855,0.1621621621621621,3,– Lineage,1.2964771163585491,1.4605193093356983,0.07776560788608977
Bedaquiline,CNN,4,0.3769647341179219,0.555860228436926,0.9422539399436206,1.4186353137520893,0.9211391018619934,0.3569109651054234,5.588231663654068e-56,0.3461538461538461,0.9927777777777778,0.4090909090909091,0.9835706462212488,0.6694658119658119,0.375,4,– Lineage,1.29860685861572,1.470044908209606,0.07886089813800656
Bedaquiline,CNN,4,0.3737066352689883,0.5181310160676823,0.9162633721028218,1.358600233220706,0.9238773274917852,0.3741825912510564,8.987003713500786e-62,0.5769230769230769,0.9883333333333332,0.4166666666666667,0.982475355969332,0.7826282051282051,0.4838709677419354,0,"– Lineage
Binary Augment",1.2956774691916502,1.4320987890818466,0.0761226725082148
Bedaquiline,CNN,4,0.3725359856014318,0.5288226310884655,0.924850269524598,1.3690801729419333,0.9227820372398684,0.3698568443919824,2.7427483741188125e-60,0.5,0.9844444444444445,0.3170731707317073,0.9775465498357064,0.7422222222222222,0.3880597014925372,1,"– Lineage
Binary Augment",1.2946265407986626,1.4427513001294436,0.0772179627601316
Bedaquiline,CNN,4,0.3711009008341593,0.5356347586659008,0.9303028571297204,1.3781131281553822,0.9227820372398684,0.3765798209823203,1.3215988060793864e-62,0.4615384615384615,0.9855555555555556,0.3157894736842105,0.9780941949616648,0.7235470085470086,0.3749999999999999,2,"– Lineage
Binary Augment",1.2933393837540184,1.4495798020993926,0.0772179627601316
Bedaquiline,CNN,4,0.3670332450998992,0.5262719132665887,0.9260526956308874,1.3690311953707863,0.9238773274917852,0.3727519540347886,2.7997036865188973e-61,0.5,0.985,0.325,0.9780941949616648,0.7424999999999999,0.393939393939394,3,"– Lineage
Binary Augment",1.2896979697875253,1.4402027364632433,0.0761226725082148
Bedaquiline,CNN,4,0.3639082460016467,0.52460778224635,0.924122231369984,1.357886056355561,0.9238773274917852,0.3729787709788519,2.33904019466278e-61,0.5384615384615384,0.9822222222222222,0.3043478260869565,0.9759036144578314,0.7603418803418803,0.3888888888888889,4,"– Lineage
Binary Augment",1.2869073986423925,1.4385424380365837,0.0761226725082148
