"term","coef","OR","lower_95","upper_95","p"
"screen_sex",-0.195501441056641,0.822422158406416,0.347516101751849,2.02627158289642,0.662812350985576
"screen_years",0.08610851383971,1.08992459379096,0.726238457418289,1.63650799121646,0.676523206556918
"bl_bmi",-0.229324137671742,0.795070779342147,0.473997927305592,1.23252159269934,0.324240356104063
"fstrom1_baseline",0.000570872990075958,1.00057103596907,0.456831284759014,2.34631040037049,0.998896840557855
"HIV_CD4.L",0.641954678780401,1.90019151560673,0.853795635368238,3.83193569080856,0.109579818956882
"HIV_CD4.Q",0.187311436706309,1.20600282011528,0.562855005837268,2.91383353724635,0.642852394284634
"TTP_baseline",-0.0647051583420488,0.937343790636309,0.577857976727295,1.51936211424004,0.793031418975904
"smear_pos_no_contam_sputum_specimen_1",-0.117074019401632,0.889519349036614,0.311631077936721,2.7684330996137,0.833709398982283
"diabetes",1.32328475064777,3.75573780016968,0.89426873857789,12.2490781598352,0.0680531080536023
"high_lung_involvement",-0.116645559494184,0.889900554074281,0.393568436658397,2.0343300733726,0.779437342933399
"F2",0.0638268916091007,1.06590786519442,0.702750770346454,1.42191819030047,0.718874492655502
"Lineage_2",0.168160447234958,1.18312642478329,0.561556802765647,2.70618010424694,0.66173416967464
"RIF_pred_MIC",0.753474179266827,2.1243676449986,1.06254308705045,10.326469029661,0.0270042176108006
"RIF_AUC",-0.293825439622947,0.745406598544086,0.419788342940738,1.28589961253484,0.32041955384758
